phone,location,description,images,title,image,website,rating
0666-164820,"24 Av. Al Massira Al Khadra, Essaouira",N/A,https://lh3.googleusercontent.com/p/AF1QipP8oU3SLntbtnPsnq3uleukK1izkXm391rRaSrI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyDHorlvHM8kmOXs_RC38wk745XtVHD-T8mUabNRqUmTzlkxus6Nig_9vMFTyWNHewlF-z0ulV9mof9NuP4PS5y-QXNMExV_TheyIMZ5gpCozFikvMmdJcpFCo2iC0N8f-kYV4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJRfzwP7mfaC3rDs_PC8VtrZSTqakv6cUbfo8ucXWQsKDv1w3UjFzkguQEZe8maOrVrkhUAFpk0EEgDAHf55i57aoYF_AQYT0BVD7flo2EydGDnikTA0sHaadEeZe7v8dQ2UrPnw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRJc0mx_DEHW351bfx8tt8fBG2pJVIIEx16ppMmKtY62W2KsKAm4EfBWnPYesuxm8XFM2JzFHwRnu-xqvZI-5cNSS6QUYd2CjKSelijLRYBDG9YTwJHnFLcqN-aiIxltxg1oVxtg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxk5bOpgrqSeNnX19aI8X-MqhN3g_MDZ6x3tamP86WAGz_Lopjr3AyPeoHMc1AV2VbZu0_V2iqdNuf6-i1knDA99PMBEqjrHlKUh7ZwMxTtzGe8Ti-ddSgxK2sOJWFLh5MlGAvS1HCii1cn|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCp2q4I--X-zl80ITYoBxtvUmGpWTU2FFt7mTkjUOXSvC5CJeystdSw3soFkhQSJ1jKacVL5FWehQhix9yIJ_BLoAQVsRClT5HEteRW0p4cLUhF1vEH-u_zBv3_af7SNxhjQt_,Les Doigts d'Or : Barber Shop,https://lh3.googleusercontent.com/p/AF1QipP8oU3SLntbtnPsnq3uleukK1izkXm391rRaSrI,N/A,"4,8"
0695-447076,"G62V+JGH, Essaouira",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgOEyPVBgC24MOukCUdUfbiQoWW9ynYONcte517t4HMjGaNBHsPvdjK-AOU4qpmM08ch9ojGQio7MzV2gBvb5xDf3gqbzFB16_NKUIUNcitO04OndqTHapGxe2424CdQd0NJPVuJbNVFFo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRt6tW3zJQIS3OkC5gNzjFETLK-PzmUVsUqVEjzk5Hq9yF7OptN90WlIjeJCKo4OOOb0mKi_EfUFbXzeCT_EeUYtr7zjRZxIEU0PawsHU8hLO0xPzNJTXKhUvnbcGnBOqdr8dlteKdgZeM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxj4hwiG-TihxjRJ7NNgKKSVC2pnjbAzRx3JATbcfyrIxIVQlTNXof2rBrlhs98BvQ4cM4YeXHjoSAgbwrq4gfpkiYgpQ-xRikSfVsfAa8t2Qwg9hNL9VAi53_ukhjQYbVtiD_EPRZPSdrT|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzJBXga9uheaRVXZMQsj8L5xGWqwf1H1yw8gFCKc48jpGuXSenNAFtxnZZLfQntstWZNeL4TFeP_B7Ra7zsMERbQ8kAVE9P-j_nCZ3wcIHvz9lAHENPfvd1VOcdMYBn25YNviQC0ZhfoNc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykMRBFn3_I_sbMxGyyI0024WlxmC06tw7ciSvGYFnJWrU8hQZjLwmYIJ00CuplmVaNaCj_AWmvHFtr4RTe14RlzlZgIGDSsjeeA5yKkl00PQlZbAbnLR1d3BPdQOM4xSB-D9sVEcf6hTSP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyIPTZ7Lywj0g7P-On_2euYxdxw1qHVAxmoIW0C5nmfRd93dGI1dEpcLOzsXLir2HbzbWuO5ezOw4tpO3-Iz5MGSzP0E23MsjrbSDh-TlExvjONWp5WEUiZKKQeyZ2QpUFjyH-HNnY-Wx8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFtWv93EDNBLfFIIfX4qaQtz0jFglKFVEwVPG3TJzrKr1ql04IFSwz4u0bPkix9d--jKKAI0paJUgnqn4yfBCO10SX9d01Vl9P-Ozco2ssGwAGT5dwGm04eKPiVj95RbcRkm0cXLtdPz4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw199DcfZM1Nj1TzPrFsEwaa1KwJWXzEUOXBvLhrnHOW--J79d6My-MJh2H9Ab8dxMHA59Abrvrw534QI7YAOLWDpHIVl9Tux4t5dQQB5jc_WHoIrW5ObV9k2YYWoYnfVzqdDmiYHTkGGxC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnqviu66PlPsPk-UsYm7g9KcfhobA_dcQsubU0zlyqZzx8TfZ87iz6pVRv6mkmZsuG8Pn5GjnZ4t9AJpW3AkD_aC3jWJo4PM8s8ig2veSxjuy5bayovOAJlk7hZEuDoOHjjtMr_1oJEbc,Rida barber,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgOEyPVBgC24MOukCUdUfbiQoWW9ynYONcte517t4HMjGaNBHsPvdjK-AOU4qpmM08ch9ojGQio7MzV2gBvb5xDf3gqbzFB16_NKUIUNcitO04OndqTHapGxe2424CdQd0NJPVuJbNVFFo,https://www.instagram.com/rida_barebar?igsh=NGl3M254dGxwaWZp&utm_source=qr,"4,8"
0630-382475,"G68W+45H, Essaouira",N/A,,Kings Barber Shop | Barbershop Essaouira | Salon de coiffure Essaouira Homme,N/A,N/A,N/A
0703-550616,"Rue Kénitra, Essaouira 44000",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtTzjJosq_aZi9pPG8Be3oHJSqzqOnbccxK3-MrgHtDkPT6RxWfoxXzEed5CcYQLePKsRo3h_4cBkC7QPMwx6BiG2RP9AWoOqfROmDSarxc7is_wdSIWtAxN7VN5qN03nbD8L0R0TX-Uc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzkp28pyNogV1IIExGd-BpQLF1Pyvzn6kkxDrerJJDTeDW1roc0pP1GC8HHlSNOsV5Cz1oEtBLlebVsTe4SqXl6imIUTsZr4HdAe0a9-5FZ73w5YpTnXG7ppKYmD-u1pqW_ZV_8eObf4iXG|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw0f0mOAvocYIIZmoDVGZkCEQUgAIMV4t6Sw1tquyR50afGfw_7d9amuAqhUuwXdF8p7icSu9x_uK05WUiunwzDWUacLx_06eyAJ-mL-3SmwDVncGHjoG9vONJsocaC8FLJP8ra1lWtShXM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwwrcgpJNRolfh3ya3wtR2OZ9194iQmFWpFWFEY_bNNlYy8nOCIcKou9oVGyJTyHmQFFqhaQnyf6CMfAz2XAkoE0N-Gz6hLNpNmsGF13I4nD4zeskLloz9hCzvWoAIYD1WMvegtmbHIkuM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBrbGqgnj08nDJPHL3emzGSxIkveCDsbrIkuEGr0bOvBPoL0mPqxLahwl3SnHAmfsCBSyZocdVXFUW85niVVj-RKLmC27AJpwL36jJlI6sLotiAXRw-QSbxYts1lHpH8hwHdjTonizo7Rx|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXL4agZN_UDM_JHofW7FrprS5Q3mIAInFpPrjqPFVAyKwubAeEgBUMtQE5x53oEEFW0fvUU4eH0aOsRvamCFQDp9BBnnw0YZ5z6Gls04gdhCoCWpLfEZv5WZpWfJLwyjnBeh_nNin487M|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKO6f8B7VfkydGZVk6MvjmPFjL84eKxO4MF5w1041cF9VbXNgRjAnKrlLoeaDPoM5ea8VTnXTcF03A0TZW3Kldst2R81mS1tweAbU6HfKhKqbUaHdr-1qJEZqUZqdB-tLVsKQCoyzGZGbz|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdHYD-YdOuL2LQtJVPjlsWmMQI0tRRMmTo-hpf-JsNb7wCXY_p-GNT3dDpPzSvn1GGwMytqU4cn8Yi1CNzyDD9PTxq6228uKaQRJIxtm0HTs5ybU_PDH4xKGW3ikWjJQEHjNaXjVGbTlvc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_KgbpUg8cqU1EMl8SzwRHY8fxl7YfVfKNYP5SApp6r17Jar_QpoYP3dfPCkLZK02MOfACQS9K-y2wvPYAVRVqAlF2JW_TlvKB72XSlWnYHL0QScFGRPF29W3x16MIuLoWu2foIePz4Dmu|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEuwojJIryiXx1pSWe7TCJJ9G7jYFXnivrD534KkULnEltIEvczSa3Fbv2eLFf_8b4Mnt39oHsrc9j_DlqaTaD5SjvwtPxA8_DPimbvyKi9JGbol35b3gQGq1rPS0x0FtvRWileg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8GPGqQNKEbWwBflYcEPDmMmpsCgeriAnW0BlbCubNMzJx6woHC4g5Eww5PA5Ug-eoh4vZ1cKiXynsQF8HYQt4KOEA3segyn84hLe1Chtj9k6lclpcW3lgW2FnZAGMxfHpK-S5T61Mvk2t|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtOowaZEJ5H-gzEz_MHkgCr-kRtfrRas6SVndC2rvlfyjcxivDc3p6Nk5aTNvALXDV2pJD4wt_zlUKK3r768-_nqp1MlW0swaFR1KrRICX_qwVMUL0nkayO94yUG1gsSUdQhpxRjTS9_vX|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2SR1MVMR7DJ72CbTxshk3kuqlay61YQUrYKQ3urdEXH_oc6Z6GA96UF7ogKPRsiJsXl-POxUYFf4mgk-4C-qnweYbolfBtP8N9BYduS9Y8NjJ4pZN3ZfxJRigK8T1Hs9PDs0Zm20v-3qT|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxn6jv0NxneeSR_6kIvHBTOizhnn7Ph_gb8OB2yke5DTWOOwfEWTGkC6DZnjZsSbOM6r8W2O7CXvyeV3nTTGkpkMGSvfC_1XmgUp0JTKgMT5GM8tOFPtuvbwsQeFn5TPv_f3Izvai-Tiuo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmwx3oeTsunkwU2H7S_VoASSmH4TNEYXv1_Q15OHuRBhy6L9rIR8821WuSA2c4MZnoy4K78yEl1KJWN1H4Baj-Qx2OXoJPFqgaGM1YVNEy1xVfiEYQMCXIHninaGfUuvFph_5KsW5mFYE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy84XyerhXkXEhlaT27pjHIbjrCRToJeXi1d1BCan2lNTAo6chfnoFg55_sZ7Wb5LW0SrRprY48ur4dGx-I5fdSiFIgOYPDQMuiLNhyHbPT_GmUKfKlGQ6EOc0FkuMGktBd8bT1q9nvdqs,Black Joker BarberShop,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtTzjJosq_aZi9pPG8Be3oHJSqzqOnbccxK3-MrgHtDkPT6RxWfoxXzEed5CcYQLePKsRo3h_4cBkC7QPMwx6BiG2RP9AWoOqfROmDSarxc7is_wdSIWtAxN7VN5qN03nbD8L0R0TX-Uc,N/A,"5,0"
0706-417129,"G6FW+5XR, Av. Mohamed Al Hadri, Essaouira",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9NmVb_Ct0Rg38E1WGt58p18K0aIXXaehB9lDW8B9u8Q_O2AOdAzWFmsLGDjhVfasYg4U8zbwBodk4ocRpJEppkvvFGwy8iaoeigx2iCpw-tC84S8whcz9Lx2wbdkc75nlh2BjMg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIDcKL9mppqUOHOy5phOi0Fc6oe03AAAGTwqFVaS_yRVSVYNEDAybw7pNHq7ZHXC1Uo67ExCvSgzyMteKNJ0g4ka-YPXFfSrZoE-GSIIq-XtlujcLSn_I_xBWUGvSzC0SSyTmLFQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1neJxEL9YMTxSkSevoJwIV5nEs5quTO3q2YxllEMFPqoKForOIPPZZCPfgHzOGWaS1kRMj1HN7kdS20cssUqg4ALzX1fQ51HiT2wfPvrojSnfz4xaBc2Ap1oOYTDGCmH01tCEpz6dxGld|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyLdI3FGlcVnjHzZnSdHt9ofrWwV5FZIBB89oz9lMeX0QLxYd8MklSaHUo_nmJnAaSrWuVUVexuLc82MVUrPnHjsVsj0PyAwI23TuiJ6irAhb7aFVJwgr9w8XQ7ByncHQC3HkVp|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxi1rc25dFzPudkIn58mdBY-vf3geVOeGNvAHfGlGA9qmmhvnEAp72TgK6bGv1qlEQAf_jG6VBDdUuu16jOKMK-iQRCMyYJ8rhzbEbBygFiWNOYnjzqdGzdk3JaGxcueOhQrF4Wsg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzs2pIz6zpOChEb-bvJLmM6Px1yM3wHyAzxdcQ2D4ho35_-t6QRWqqoTVzjKsD_Xe3m7k0B40yXxkVik7TXeIvWl06OWddiBdvmW5jXItT_bH_kgc43Z9lLUvWcgJJrAgue8qCI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwA1ZRzk-BWHKs_Z3NmJ_PanIBzPevIdg1P0y1H4njgKKzFnJwp5t9q-7g0hu_qrfztK0LTZxk7xwfeleUl1XgdaYApLms6fhr9UL93Ig194ebRcl-aZ3llLbvENBwQVcQ5dJZA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyL7QHBeafw_KQDje7UBd5lAk4oJ5QKZD028k2GuRQdWBbTcfJlgX3mz34Uz7EVA9nqDVL-eTAhreUgec15GEk33UxRRiOe1ChWGZEV8vNVaWc_V87yC5JJVywRw2SW4sxQN08l|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWEeeErvzQfFVdPQ91Pprzt3ocV2WcjbmSwJg9ehMsatV7CckLUlrrvLyEh1aMLAcSKEK7um1lRrVHL0qNUx4Fn_2W02LHuwXcmUl7oe0BufwgLgK5dZekyG3x9eufYbxeMp0A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4SUP_ZsBwLq6Njk-pQGtDzkq8KGJGjkAtbHQqXgsU8L1BOwD9UQ397wI-SHWf6EMsUg0pWIrnVY9LGXliEkFTgeaGpUAlXmpGmtcl9tF9FHm66M9Oza6_sq5y2z_ri6HJRIsirLHshzyi|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyNccIYvfXWwo1aQn0XcA_L0XEmerprcxx-MXYVyHEiHAdVVerBy3L7aKdXfFCDM4xAdYhLPkIhgLQydJDitSJ1sVBkRUsytRfzr0lRBaCWJ4VcnDMMoMbmzbdZDD3EIA5aotKYbA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzO9yS9HcTAXizXNPsW2UNkhxwzkHyXI3wK8EfeQXVFfHjvOUOKPj857btDN6gZtaTlh8RvzJiFSxI2cqHTBAfMey6Y8wIM2MN-MT5joniCkSbf3s011_ehC_tT3i_Oliws_RqeNg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSym83lePW8rVWcd6nadjMP44u0YNK-jzSU06Q6N0GJwpf0yVBMSu7AgE41tGI3ZT3ensYUViNyiyV3MrC3oeS3bK2zW9RUqnOczDJamiIsU0cU7raLKNAdMVPaYmtvaBj8yAg7F|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxadzVY9sD7WeYT1xSadOXULIG_9oAiBy7m4CZEMLT9VYSM8PDpm-g20Dbh_SccIUqjiND4X5ztDLgDFqiVdThuL2OJMR7dkylpIu47hx6glRaB6P0QYu0QL-fjnajGVm_aCb_sMA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxG2_VCRkSCetwompVlYOSK2fq_8DOLC8OcwNwJyxRqYVLGS7K1ABtdKy8V2u-sycTVIclEZeDA05HwZs2LCCwB0anA-b4swf0bJW6LhscIvUJ9sf7s1U4GXek-oyskMpE8kxHaHg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGTExZUh0QmA4tMIyeC1gfSPAD3HNMCtSdPQSJ8KUtBKvZMsqeqL2x32ZPJ1dfcFAVZaUkbhHEZz9nqm2BLaQNKAuSF4u9IXiSkE3Pmo_ENpA5COV1enr-WbD81OzkyU_QktNfpA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4L-XOUvB6IiF3-1H5ig9OiPYtQg_-vozgXXmNIsMeY_SJxahLrti3ffRZjpJ7-Taz-o6UUdYDlnuxFyjkD_w3upsLNUgohnhmb_S8ixySTi39HQTN7OnDkWYZpgTrxOoSxzTl0Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2SFmnT45sc6g0YWKY9k6Bwj7nAv81QgPLr3DL3RSZtZgKqQ71nJc_xR0HotpWOrLoMvE7OUA2HOogP8W90roKMvltNSknivzndOF73Ve32xUA-4GgN5fJGBChNtjtlgEPsT6s|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9LfRRleJggI0Q4oh5bJoxvufrhFyCsEqRHfUHhUW3Zglh8EHMx4nCfxdWKrB4L5-na5p2iFcAqIiie68YeCBSMmhvkZLonF2W8FF6vmiHrZF7GJFYjHpLSWIE8dv-nFAgHTD7OLXxikJ4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2gny8W_0IjMrDdRV5gSRWr_IivXBuRr6VBJH5ZvZQw8qiU32Gka-gQOnrVQshoDPBA2iWMI-zzAQ6KfAG6zS9C8Dt8FeodSoNwe68-2y-AWfFnnXZaN1VZMvFOYQ2Kv4QdDuyPp5D0dw,Barber Shop Khadiri,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9NmVb_Ct0Rg38E1WGt58p18K0aIXXaehB9lDW8B9u8Q_O2AOdAzWFmsLGDjhVfasYg4U8zbwBodk4ocRpJEppkvvFGwy8iaoeigx2iCpw-tC84S8whcz9Lx2wbdkc75nlh2BjMg,https://www.instagram.com/barber_shop_khadiri_/,"4,9"
0646-484509,"G6CX+WJ5, تافوكت, Essaouira",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSztW-3Xzs9SW9vrZdAwDzyAl-41YOvig3BDwYejUjtVMeZzXURx7_rvlTU0u1uSUziN4H1as8XIr0HThV5gDucPsbsQRajbL6HyiVhFbNCS1MZYeudd5yc3xVhGy-5OAHavdsOMtQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsTI8NGTlylVbKdqVIZ2jq_lAdgr288pPm1DEIdyHrcOFNG7dMxc-jEn5wOG47hN9S_LIYjIIYU6DygMbrSp2rZHsdK1RxV7yLj71exR5fp23VRTifKflcCY9SSDaY_Sd0tzeM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLwdBhH2A02gn7pEjrxREVKto9ohBZdzXwwCf0YVXeXPm6tLQREAas6m1R_QxKSjspkaUWLn41EMIJrnt167XfAxIPaGXhtRJdeDrEsHpQ_5P_9HzmI5zYNiOy16q4NYOLEdRY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwByH4N7gTRdTl7mlFvtm23MxL4Dz8AHTgHRZOU0YIKLV6AbxM8ni3NVSiNA-UWqVflZvU787A5fQYpLbIddY3DkLCEZaxIogZbFxC51WdmQw9x41rcFqE77ci8EuvJyRW7fSn|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9tehtjiVKncQaMFfFNdddBmAPUDD2c1CMNlXJe5xMmiWwokSi6wIUEZ1rCQElNon1hw2yu0h2EVvt70z57W2PhUqtSmNNsYFNj1VyJTdF1_5CGoJdK5OUV6bDm0PsxXLuuo7W|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw8sNYxgZkYQ46wpJ3zQuvMX3CHCEhWe-SjCwjhgP0A7oN2EAKppJPZTuMWvcZJ2i9n0x59epwsVmeZLKuT10pz0IWVgMBPp43wMX_3LUwwDMb3ZKoz00elGBFhpIam3SrsSxwCjA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_gcxTGt7DVruKHAc7WczhaCA_coAy5f3vGqNe29fvpXxTyTqiwvbwr4OuAeOB3H5579rEUqmfa1wrMynoOid_4yplrdalgGU_UZPCDqVS2B5RApES3JnPJs3esJ9Lxh03tdw4,Barber chop lachqar,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSztW-3Xzs9SW9vrZdAwDzyAl-41YOvig3BDwYejUjtVMeZzXURx7_rvlTU0u1uSUziN4H1as8XIr0HThV5gDucPsbsQRajbL6HyiVhFbNCS1MZYeudd5yc3xVhGy-5OAHavdsOMtQ,https://www.instagram.com/lachqare_barbero?igsh=d2ZudmQ4eWE4aWtm,"5,0"
0696-188869,"F6XW+RM7, Essaouira",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2hFv4ikbYADSjR3yA8AK6cHo0vPG8LFrj7hqK4ek2MyHiqoGTkU4QpiewTlIxmA3HDoKu4vCstDsZ7KdwNeYvAI_liaXPAtfUFyvYCLNWW9cNXFGXcVCtv-mJhmHcu8KPoxMmEw,boumki barber 88,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2hFv4ikbYADSjR3yA8AK6cHo0vPG8LFrj7hqK4ek2MyHiqoGTkU4QpiewTlIxmA3HDoKu4vCstDsZ7KdwNeYvAI_liaXPAtfUFyvYCLNWW9cNXFGXcVCtv-mJhmHcu8KPoxMmEw,N/A,"4,8"
