location,website,title,image,rating,description,phone,images
"Residence ismail Magasin 1 champ cours, Fès 30100",http://barbershopfes.wixsite.com/thebrothers,The Brothers Barbershop 1,https://lh3.googleusercontent.com/p/AF1QipOErnM1_OVRJ-DQP353v22ujUh444vOBJ6SmDiI,"4,9",S'identifie comme géré par une femme,0532-054421,https://lh3.googleusercontent.com/p/AF1QipOErnM1_OVRJ-DQP353v22ujUh444vOBJ6SmDiI|https://lh3.googleusercontent.com/p/AF1QipPSi4E5yc8zgvmZkAKyOH0y6JmENTBX_hulbAh3|https://lh3.googleusercontent.com/p/AF1QipP8pytYkyVORq-NPJMXnUs7vvV4OJgcLFzPYJXH|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxWrtaxpy-Ys_rF_B80WFUIfpY0-XVuZFQSt8_mlqkuOGOsR3CYXfWukO3o-7aTaC92VTR2B8K1L6cVklcM8xY0tnbND6SG1cNDTa3XWmlPfRcKIO4_88VxliL1lZ8DyzYDdbFS|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWiP4zlwKmC44uO7MnPZQFgZKVrDpLOj7Sk5NKgzJ4bo9XtOqEcM2hRENg21U3_osKZpZYW8vlvV-eux2leSDxiD36yJMNkQtU5mM-LlxoRMHzlB6hWVKQjAQVl2cHY32KwQPEkw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXj1r9m699Uq_ZUkytiAQHBYQ6hZucIALv00kwyMhrUQWPLE3Xn2URa8lo1M20ZyvdWupZ3BePGgdEHrSyRdDIIQyWj6R7q74zSbRZPX6CUlimRG8cQehN69VmYVnmwL5hJljfdQ|https://lh3.googleusercontent.com/p/AF1QipPksQIT-nNqNAp3ZURWsvXeDlZn9HHumJJOvcV6|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVfrFz7z3AE9igZSOke_YSSuxFOXL07q4_OW3cf-svH8281jF0M9eBxR_mCWst8n6X0SdXX2C6k2SzkFrRCNvOHLbUir5q5SrhqPopvahQLIneGUsDSsTWWiKgCwx8GPu00-A8qg|https://lh3.googleusercontent.com/p/AF1QipNvL7ouyj_AoaKs8t2wE3a1B57TYH2vpGCK04ib|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZOSXtRZWK-8tJUypbP5SVpLZ_MfD5IcG815yeMrvE0gccei-CUyZMBb586KAr6GgbDC-fthXc2QCgyU_U1UoAfR3wyWG2VNv5AH8mRQ9nVyS9hFDzIDPnmjrGAhr4Z7uwy9DnKg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzixWUWAD0IZHGdouH5OHHH2ONgZ9DBqRMsUbV2LM6gUZjtGFZym9p4Wi9HNkzu0qld9mvpW5UzsOhhMVbLU1-qwwaReecAJ6w8O1c4f_lv_pVzj1ysLO_L5ttE-IV08P5tPELa2Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzp-a0gD23IOXuvzpRw2zgs0-W0Jtd9PGoHBzCwFrpihZpysE_LI0nukhmre3H6LJHqVSqTpnbeyxnzU-LoWcubKLKbWjyt4CKKbhgCLZX-mrJQXqsZMlyHl3XkfRbtUHWb-Chc6A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCO0x4VemWZKpQrHNQg92DLdVndhOHZPrcj8obbHcBpTp_Kpnwa2KyG94ARkJLuiP3eX9zklTdCRdYElkapWNXyc_xmoJl4x4dZO_xoRg4AoGJnI-MrDIGiih_qCbEe4C1EbDn|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz31rzsQjpEoqf0ILV_UCAhtCHzS38pih0ss2HOVXQuzLsHDOoWtcrsx-elTVRpj89mri0gHi4I-bGwRqVlAEQWHHODVV2aByTgHCKELT-Ivpr000JT_Iz4XZxejF4CVJtMNAW5yA|https://lh3.googleusercontent.com/p/AF1QipO6qQ5uSIus-djbu6skXfz2GvBf_Zqxd1Tykg0-|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfoC1gYkpI2g50NlCZTA5BNfCqGZ8GTa_28xwIt6TtsxtpED5ZYp7--9ydL9qApnXoxN9_PL2s6YmPOaaUO4uW_ZZzd41mkNArW9AnFSf41DXm_eIWx-y5uqYanEQVidRJIgnR|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvDAYVddATaKZPKnv2FzIB8PVu3pHvd9rT0bxeWlIxmvR2fgnweCmAb8O18qmp2ILiiAp04TShKk_8flzj3GloWxABt_BWcKbaPRmBY2070rNeLdu0eOupk8Vl9_kii23j1Nc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYYIXUNlCeQ8eKTmclyWVsWsLqSLZI9yeT1Aev48kELwnr1NEB4-zUNYEb2FHEAj_Wxr2z4cY9AedFp-VaQnlEfr71O4pEBwIq18Fa2au3az6pho7jOFW9ma_1Po5ul4DNoOlr|https://lh3.googleusercontent.com/p/AF1QipNs3QBkszKtHB6dP0jr_Osn6bTmZRC_HaaVme3u|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz74Qct2H72iP4zX-DJcP6bHTkGi-XUpD9dFsW7MZC7vCBtD9iI3RlGSu3QPVGJL6c_XlEF7ZWzfyRZOxi58CRgo_2FhjfRb7YXggh2qFPflvcQnts786eHcCjy8Mtgp39MT1t4
"913, lot karaouyen Ain chkf, Magasin3 30050",N/A,barber shop BIGOOU Fès,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziVInsEao-vjsADHqnaJP2fVA3MFMl7Hu-BsJEGnpwnKbzKhDOZRXiI4AoQdiX_Fq8ztbvp2iH3sWBldT9xJXnvQpx8oGa1nUNUHb2O-JVa_m7q7s1cz9X2lKkhfA9LpUyyyJq2o4hk-Pg,"4,9",N/A,0664-321106,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziVInsEao-vjsADHqnaJP2fVA3MFMl7Hu-BsJEGnpwnKbzKhDOZRXiI4AoQdiX_Fq8ztbvp2iH3sWBldT9xJXnvQpx8oGa1nUNUHb2O-JVa_m7q7s1cz9X2lKkhfA9LpUyyyJq2o4hk-Pg|https://lh3.googleusercontent.com/p/AF1QipPWJlS5gQg-r3lQEKEx6l2sBXh6Ed5WkieyGeen|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlBvjDPmiEaN1ezPkHaqbBGCAPu1-X5BiZ_mO4B9uUlEpZaleNam5z6SUv7b5Ken3Y1d_rGt3_rUP6-BBxafBNj0IK-KhMeD-oLTdtPzxb2upuIF6S7iUNXSGFo3iJgjVO9ss|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw5N-jy0Y7xqbkk7e2-vev8UwqL4e_AugPOzRkWWpdjEzpqXex_kukN8yb_69Kr1fHVVgju-DiIVKASEJQfooxW9vBXljG-nACziT58UJeKzjNkw7kzT8_18V5oxf5isF2nc58WRwkEVtgu|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytT6-LurHHOv6nE5O-0wHYykl_fLPWz7MoXDSvhzuEhReYk8DGrkaDH3zIQPeCStoDJG668d4bR9ImmSLsc3_6so9PMCaTXFi4UDrXtCjxzo6R0NBhJT-oOn_sdZIc-XQYXX2R|https://lh3.googleusercontent.com/p/AF1QipNLEg3LUvtbipZbIMYdRhy-ou_09PpJmMeH-kEf|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwUcWMNAPq3dYHFRu3XrjKC9R77CSd-ioNuDODJesEFTX79qmGCcusSnMK1t5Wil6GcUWJmQUGvvRv9m1UoD1S0HvC0l3RunzUJNKNol2-ulu-pa4Gw71qTJelPeSBFyB_yey-jEiyTFrqq|https://lh3.googleusercontent.com/p/AF1QipMEluaHJMLKZzxVjH0rvHCT5MJw9Foi4tDh5Ec9|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4aKzJNHB8tLymZto4F3g6eNoKEeX99hvM4QA1L8EoBA8SXsQjW1WXY--ctCoh74Clc9aAMeJOPzPXHb8kYIKGU8YNyoukPONNW4B0Ym3e4SCt8IdmmoRcSMZL5kQElGvjA9OLuysgZoHt|https://lh3.googleusercontent.com/p/AF1QipMCAzSFDj6hkfn05T9iHsfQPy7q0mLswKKMlSNy|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsfnXPtHzuu8u8dI-U3afvUTOY9BqQNNmBQntg7haWfZ7B-KrgMkO2OX7OkaO4D0M79O3zNjaSs7nHPQYvKEiUWJjXJ_qfxu-YPYpsepaWlQ_KKypWHuldHm4wBJRz4k1F0W7Ihs6vwK8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwK066MTaN-WsrLMEUj271MaBykuz6-a8jkCTSXIepUDL6b0eLE-uY_JxXiaNV0jwWLA1EATD2BdecLlpZZ5y03F55sbN5VbffrIqY477PUvzNi8Ntimc3HlOYZFQzfXkP1dDfrtw|https://lh3.googleusercontent.com/p/AF1QipP-SXp9e5_bWIYDR-taSvYwhoatp_ntxO5D9c-W|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVe-lwiqhUUl-VLFNlYWTspQljrVs6-orboSe40daODsVnPOjSNVbTN9UzXzTFxJQk83oKdhyycbWNQj3wSMukvh0Yohh3n9NK-fj6yWAVRcvS3BPxVskPh28vSchtIegnI1uyHw|https://lh3.googleusercontent.com/p/AF1QipP0Ax8UM-y3XEtX4gjjXUQbjW_6AHAPMJ0iD-YN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxPWN5ZtJWNlL66lVlSyEYC-z2gX-8tOFuwpTP9YMXi_K3Np2T107k0bgiwEGrLx6xy0LQZwLqopSDeydFRECHIzPAAXZtQyULsiUNVLKunNHdgi7GpTT-xBWkep7bgfFxarufFxxrBGC5|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFhgoA0tv_HhpnpzLVGk7DsutQxNq_UWkzSWWIynyEzLz4ZcxLmbi9miP1FbGA-m111TKARt8mFE3bAmbR_uFC2XJkJtYAJyIy63umLvUo0ZxwfU8Mia7GDAoSl__ln4PHEteb|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlG53v9nK4pJVgGNhyMk1V2tDTyA60DHrhWDq-brrEcap1aNIvnoAKIKmBvMTKfUcHKEM8wZ6mMa68R_n405R9ODspT72uSYtnEqVSEHoPUT4KAvGilDG3F1LPXN-rFOdSSYKe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyA4K-cPRKL9mOMYgAJQ8KeO4ozyEasj1vPUgu4sQth7jfH5yVkbNvA885neUDhCDQHCaOAITnDr8yRVeMji2tArbEL5Sm0MHL8PHSv_t68gJah8gTbZ8hlPz8gg73igjVDiXEZhmorzi4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyw-d4WBP60TD-ntPLihlEcqjbeLbtevGDfFA4jZcD4o9ThwfGUiMUCzx0QGYKjtYLLTzyCoHWRH8YFI7R8CjO7ZHjhprdYc8xcPeOS7OeHo7EyLKF_n763veuFP1K0f0ZZdynnCA
"884 lot karaouyen rte a.Chkef magasin 3 01108, 30000",N/A,Barber Shop Krimo,N/A,N/A,N/A,0661-234596,
"lotissement sinour champs de course, Fes 30040",N/A,THE COUSINS BARBERSHOP,https://lh3.googleusercontent.com/p/AF1QipNG9ywb-jinMGKVSfeFzY5kU7H_H8f7CRnqF9mC,"4,9",N/A,0656-471231,https://lh3.googleusercontent.com/p/AF1QipNG9ywb-jinMGKVSfeFzY5kU7H_H8f7CRnqF9mC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwA3SCIttye_UR8OyP_b1NXa6LH6VH0T-AxXIYaEoVvi87X95t7rmqLohmAVCHUPxRMJtYY6RIa3UqlgkvjehiGTCIqKBN9guyMD_RJCid7f0NrQa8YV5S3NSwWnLiVWZGfzyAIcg|https://lh3.googleusercontent.com/p/AF1QipNZ0evEqhCwPEmv8sgw1ge0FxMyVPlbmt0crtWm|https://lh3.googleusercontent.com/p/AF1QipOsNVwEDuuMz5nHNpRagsXRcQ4QZAN0U9gY2nUt|https://lh3.googleusercontent.com/p/AF1QipODySWbkt3vk4bBrYmL7zVk0cH_35ehk_HM2SjD
"43 A lot Riad Yassamin R.A Chef mag 1, Fès 30050",N/A,Ali BARBER Shop,https://lh3.googleusercontent.com/p/AF1QipMsx7qZS1H14DLCScf64u1Au7E8GGM2-4bnJDQ5,"4,9",N/A,0658-558564,https://lh3.googleusercontent.com/p/AF1QipMsx7qZS1H14DLCScf64u1Au7E8GGM2-4bnJDQ5|https://lh3.googleusercontent.com/p/AF1QipNmIQzzHtPGHD_FSprPCX_DMJNHm46aoIDzUm36|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRVY9_hDAAlkxvGHksCo-a9qGUvZwUGw8kVnkJD5s6oaW0LoU8ftRqbhWYEWxjZJYr66iBJ8gvc8t0TDZZHG4XyG-HdkxXLX-2_DLbwgWJR7XG4_QpuTypxRTBbEm6LlXrGvOa|https://lh3.googleusercontent.com/p/AF1QipM7G746iIeWk90F_Hgk7U1fwKG9SyMamBSUYClt|https://lh3.googleusercontent.com/p/AF1QipNbbx09I4iavRuZZ-8jB59WcqS5_ujmJX_t4pLi|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxP6CU08QIFX9sEO4Npe9I6VtD-09T-iDWQPFVo1Kn7PwJpZXZKiFITBMik9YipwvsbcKUG3b1Une0plFPHiQulLJ9PgWyLT4nYsDCidPHQFXb0zdEHFjhQ_KfTDxTrWnyzfk3G|https://lh3.googleusercontent.com/p/AF1QipM8EPuZi5P4zRZQToxxWD9IdxweAUWFMMx5hdSj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSybf4SmAnnvpuahMAV4hLtwqwhot1R-M0S8sGgfv19zqPU4zdhbfDcpw0xZkamvYaBBvm-Alq2F3qhj05mBvTlLgVMx48m3b3Hf8v_99-bnu2CH_c9SiwZ2uN_UthTp2B4JqjXQfA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsjQPOZlPiJjiXc3_napPB0K0CObjkWonYhURcnU7XH0Q614iafMzYe9dmF2rqWfnCApF4F3AO4-y8DbSo-o3PVghnuRrQTExPanHDOBf80D0Olv7ntsViJwG8xkEcMMxDOX7sQUVnkChT|https://lh3.googleusercontent.com/p/AF1QipN9TmKFN3db_br9WhLHaPmYG0OWok20Ds3WRgok|https://lh3.googleusercontent.com/p/AF1QipNmUnmNHOoqA8PQTyPvi76ubZmjZmDlR5P8XYgp|https://lh3.googleusercontent.com/p/AF1QipPg9CwmO7-UzmZ66Hl6wbdlrG5_feqSCs-W1f8e|https://lh3.googleusercontent.com/p/AF1QipN7FzrcdheZ2g8yFZw7o6bq91gBbzEX95-lHG3_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgBKYzs0LmPvApTZTCHyKhykDqBM_X0wq2-GE-BDObAprtJbLfDuC0OymBSfr57tBd_JT1FGgkcr0D86SkRlLPPhPtnD61pHhJ0XTHc3rraFYxl4I98O39j0iP70Yf4rKbMalJJz6X65vH|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTgaXEPaU2TJo0lmO_VMvzDdcr2mvr5j25Ek84nSnc5QVWAqtNLAvJBStZ4O8s_wR-CehqDKgcqW0YkfQ4jvt9FKwBB_Q5Qf2p7lp0VzmkzZEczoWInprFFeBFtHnZHv7VijPdxtHHqoY
"Lots zineb 1 dakarrat, Fès 30100",N/A,Barbershop salah,N/A,N/A,N/A,0674-898451,
"10 Av. Moulay Hicham, Fès 30050",N/A,The Barber Shop : MISTER BARBER,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiJMiZaLXSdLfBRpcGdeUandOaK3NUTXLirJ1exg2Dktq6-n-XV-1C5U4bqn9L1Fi5oCkG7HIa1bTZXOistYbXd9BjkeTW7MXXX3fSzafmX3CeE43iBy6XFF44ssz6xEqJ0bFXOQ,"4,4",N/A,0701-305886,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiJMiZaLXSdLfBRpcGdeUandOaK3NUTXLirJ1exg2Dktq6-n-XV-1C5U4bqn9L1Fi5oCkG7HIa1bTZXOistYbXd9BjkeTW7MXXX3fSzafmX3CeE43iBy6XFF44ssz6xEqJ0bFXOQ|https://lh3.googleusercontent.com/p/AF1QipNBZMdjcQhk8emQaaEz1jk94avc5VDBqe2AqIgs|https://lh3.googleusercontent.com/p/AF1QipOfK5sSQy01XN0Q5Ld3gJ0UIaqQB1Qn9CUpmxfT|https://lh3.googleusercontent.com/p/AF1QipNFDSP_UrzJz71s1g5ZWZSPuODFqhyfbC5Bgv3J|https://lh3.googleusercontent.com/p/AF1QipPfX-gOaUXUQElSwZRYdhax7d4pvt3o3Zdwvuoe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyjxsExdoGI9aMS57A_oMxeD1WGXGU8ILLt5au1IYtuzFDNLXs822VqONhByqUlbyxwfIXxLJxUnjYOitNLBvo1mVCTbvigBlXby39yD0UxFTG9eiNMV0XxWAgrnyqlfu02Oh8|https://lh3.googleusercontent.com/p/AF1QipNK9Tr3vcZFID_nWj9avLj0TWthrn0MTYArqEr4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIYoHORuZgXt7kvti1Mj8GZZEyS1qixAHnIolxKhXMixU7_hop4PvdxJCEZuNJ8rZRq8VD-LWxP3Qyspe-L55ghuVVKU1ak_Q05Fip6e1x6-uwFGy6u3N40-WENzvZipAhILq_|https://lh3.googleusercontent.com/p/AF1QipMsLKROamINkYxgIJb22I0SzR7YSkHPn8YMv5JT|https://lh3.googleusercontent.com/p/AF1QipMms6rSTjbi3zGJvXcm5bsfOjIm15DlIpuVzj0i|https://lh3.googleusercontent.com/p/AF1QipMSqfa1PhWF0lQzJ5H5dR2qMdzmvUiwJSP-OKGs|https://lh3.googleusercontent.com/p/AF1QipPO1h_NBLNfjV0HBB-obfKPRaUTB1gAnNrI_Tk3|https://lh3.googleusercontent.com/p/AF1QipNi3H2lO5JSa7FiCmCm_8IpXvpbOaNDC6TXriGZ|https://lh3.googleusercontent.com/p/AF1QipNvlKiFr4CmCZoL3HUHg1dBCjiZ_CEudnswPTcf|https://lh3.googleusercontent.com/p/AF1QipNm1damjrPkD9zaTr7LWiFqsLfDmoFu8rLruRCl|https://lh3.googleusercontent.com/p/AF1QipMWnqVbf9aeOHsBeQOtv8jhpx81CbVRLH76Gwio|https://lh3.googleusercontent.com/p/AF1QipNE3sE3T3AdD-z6GowLCiMq9drSEpLuDus0Z4jA|https://lh3.googleusercontent.com/p/AF1QipNsanLIoUi2ar2Sz7fkID6JepsrAMmffJQT_Iki
"Rue Lalla Nezha, Fes 30000",N/A,M&N barbershop,N/A,N/A,N/A,0667-410415,
