images,phone,rating,description,title,image,website,location
https://lh3.googleusercontent.com/p/AF1QipMhYb9BOAFV-cpkzeWGPIcBBoVS0-0aZrQCYhnt|https://lh3.googleusercontent.com/p/AF1QipNm9QdDqa060ryHolKX6eWmty9y9r0QNBG9L8fd|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZPgH16RM0DWTot9smB6TCEAHNG6elgzDxcXYwk50Jm44WRNYTlz2dADYnsnARIyc3HWKsZVHHULP6cYcrEnWYPufnN-7G_REohquMkkaSMekqfZ1y8JRUUuTLbGKXSM23cZ_ItqtArmT1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmHdJyxuK7ivgbWvdtImErjOUPFgrh8I1xVSKH2aNkA_qffeFkgalwfFyJ9fQ4U13ompLUdkRZKsNUOnJTXYTvlFvZ9V_QVfJHdKM6da1EUtLHWZsU44BUBEbhniRQkATSdPns|https://lh3.googleusercontent.com/p/AF1QipNUR1LmHboWPj_KOwpoLwKCJUFuLSc_h8TxWbZA|https://lh3.googleusercontent.com/p/AF1QipO5_v4HoLtf3ySxjNIcFVqH4j4NUoR6TuXL7UJE|https://lh3.googleusercontent.com/p/AF1QipMugi7l27mB3iOz-pG3PreP12aFv7zYwnudHtKt|https://lh3.googleusercontent.com/p/AF1QipNtozr-fImtOvJSheTFLnPE4_YVyHcEGN-4pWGD|https://lh3.googleusercontent.com/p/AF1QipOK6NSD1JlIrOq3zM_5FEqWg8VENrJJ-5bAu5-1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoTcb2Ef3cF9iYPyxtDf1uaQVcT7Jmkt5nXhWqbYxFIuAqFC4DkQyvXfudxtmm5Ikjny9Iz9wdIfsbCtIeMKW41eYgJ1UnGg-dwM45kd4wPeR2Bd_bLjTabsrVU_vFDyeEUbec|https://lh3.googleusercontent.com/p/AF1QipP0qroz1EribM7ttIu1ig4MbAw4SqmKTIHFrxXU|https://lh3.googleusercontent.com/p/AF1QipMaHrQEXq1HiALwr-k_ducYgTGeqJ3wmM6y-mhR|https://lh3.googleusercontent.com/p/AF1QipP8KrkzQY3xOlHKPvKr8CM7BLH5xC0t-sBj8dkp|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlibQZ3wimYl9CqRvbX4rgPpR1dombMUdIo78fNElSyIV3TsBy_RscbF4ppq3Pm78Rqog-a3_1eiiCi5Rqo7-1LPvRwTxoOXlKZNSl8l3IvXkAFcozitsY54JbfV9zMlruB_VUaQ,0662-626320,"4,8",N/A,Barber shop YNS salon coiffure vip pour homme,https://lh3.googleusercontent.com/p/AF1QipMhYb9BOAFV-cpkzeWGPIcBBoVS0-0aZrQCYhnt,N/A,"366 E00M01, 445 Rue Al Hassoune، Rabat 10052"
https://lh3.googleusercontent.com/p/AF1QipPmtQkRjqG9fxmyd86a2yRnTNb2Q8eBFTy1uXA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwK3ccdibOfShPy9PKTmXhWWu3pqSsRpjLE2rl7qTEMa1KbjduIvybF3U5Qbmd6MEU1bhtt2c4SU0lWowyY33Gstnb1sld3ZlgSL737AxksarApIwjnpQRzcwXpITwFr-v45b-O|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKoL24RB4aPlAslRYEoPq3PMa0WxttyhdqCA4r2gcXAQ8fl2nD0SE7YnSE4SZzdIhar4YqtY0xsPLKgkxXo8dd9vy2XEnb2zRVcI4z08g2VQLaxsuv9vRvYCFQUTrZinMZ_LA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaJ7YDhs06TDBYWdvqQCaDz6gnxinAHk8cOvx1xlh8mpfdXopKi-FKzUz1A_w2K1gaTZp0soSx92uR9HJJ096qUpkCW0tByHqIeqfypRZzApyMi-0r0AF-sk4NuQ88An7_RQxx|https://lh3.googleusercontent.com/p/AF1QipNQqRJ7cbSwkgw5Qa4jBZnWa3b_osOSVDhENgM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMWU08sogH0eMFsrul3Fmo5oUyDBpayHyzu_PmTVCYFHDVFpbDmSGF2O1-3duwBSIC6mcm0Iw98avSlpY4i-RGz544K8yk7w5-qm80kZ8Qt-IAxZlf_op2H1IMcVidMOMtqfJF|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwM8jfRp9OrisSjjHItkAI4Mlz3M_8JChdWdybxVh5uG-w459XW0t3SmI-i_SFpcT6KbQ4f0--M24QtmxwA9LHGs-naaY7FPt2SuXaMHClPHbuC63S_FtU0aJudm54_zDjmQBns|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4IdUxm1jTXq3vbLKBNqAYRdqltgMxqVVvORxQnXi0Nf2uOz1j7PrL-fKb-CfQe-EQTymDRZzBvj1ovRAHa1B0WEnDPYJf_Psf1hsknZlF43I0Vp0pxvyibrUd9viJ7iV01W2c|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDrx9y1p9OnunFFhxWZT7afEP_kT8mO86FinF6IsC7FB3KYgATgCjoa5SiKjuJze5lEwstHaTVbjb8eknvrZptTU6xe85lMEnaaCHnIyzj-j8dLlw3hx3RAd427l7fTgTFDUUtag|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy8n_E7JZSvMdh-cmTyKr4Wr64r-ZiVPVr1vpp1eOuWyL-yKQca2vQgbIJRTYFLkbyvvxXzX-2ORYqcagWtCqGyk2NOf8Ejpm0UQVOpLyaMLiDou9zIXf90lxEuyiIMBzH2n6-v|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzeDXZ1YSbsHohe7LRKLg-7kQrvpBW07Iv6UARB6lykHFYu10jG6FeNEhhKHs1AtCUZFFaXflKwO86Mn4Jsns41aHpKdOWZEmQMYp4wLgQWQe71X0HPItvfCkggpYYeEXvMI8m_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRWeKCZr1eXM4phTUGrwNrVzbRRS0aBOGpyyZxDdCTLA_YxjOyB6DZdRJfZRNRMTwc4LfMBEjU-lg0iVhwfXk2GeiHstPNXdubwAs2cmHLL5qbh5jFrxi1_uD-QwesI-suJ-Em|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8YQpvBlFO0TZ90KAcwKXxCHXH1zjt0ZqO6CeOwz43Zjl3cDiopRDAp9KsygkP_tJHSoaazau1ti67oUPddazNUpz-J83bTxqQg8Hh2edMJunJvzpnsgoE693S1RVoyAhxyyqD-Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgVDtNzgbzcSogqbndzkTJKHTeljW1M-GNulJNzGlYOsiVk0nh7yLTQkYz9VeztaUJFrbJVz1znJU7anxnQEzJdTSKRrqWmpKQUgMFQ7pUbXrtQzHOrF-SxG0222I0Jk7qNZi81brTedR8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyn7v-srHHHgoHZz36CLiegusC-xCV_gbqJ0qOCdTtJVMA6TzkfHjDS9NQcmoSiREC5garkcfUlamEvTsFFWPVwB2e-USNirjZ8yvtFDqBzbn7BsjY52Cd1z4vkbrw28NAFK6x|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw8eGEGy3coVl0idvYCp8H217nlWp5tCK84mTTGALkzF-cUHv6gPJGNZFJ5vHo4Tn-xvPGp-MtLOGg5NTFQX-nfhF-LiBz6cUeJoZkdH6g-FxxcIcwhN_MnWNGfnSQ7uCEXy6f2iQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytpy0lE4v9Sztck5rqmjisFRCcY8F2hQwLZ_1ofnW-TKTd31pTAC5vkQix10gnLm_6HG2qErkkMcvTNXBC7MFkKr4oGwSwgZrCaAG_kTZiOUFkkMuQkVzZQGJA0A_QP6vURLR2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySY3cLA-H8p5lwjdRnowJ6v-ffJK4AAYtH9rmd8iQM8HjI5nYsVOuzjOv1lT7bVYdamtT9d8YvlFQEG4l6MBla4EN3qZkOgPzkLhFs7y_FqNPp-Z-owqjvuNGl9Yphp25YdpM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgvuVAcX78owFiPwwkpVKYCb4vppCVUO1KisSFg-CLrSBbiUWgkZTJtiVhJUu_S_eLv5M4VYfc5QGXx7NxEyeC6mVhrabUPwRKGChqeuysL18ttcfpuYTXI_CKn31wNuiP9aBXhg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWCK3yeUVBs4DKSRAbyILOPyj_8eGxAbgZRVKDPfQ3AZNeFTjSzP6XB7prMduaLBqWf1XkAibEz4DKZ7iU65gx2CCbkEKZWWYhGIL_e4iv_njRjjZznTKRA_ciA5kpLoDp4kk,0626-849245,"4,9",N/A,Jouri barbershop,https://lh3.googleusercontent.com/p/AF1QipPmtQkRjqG9fxmyd86a2yRnTNb2Q8eBFTy1uXA,https://instagram.com/youssef.jouri?igshid=MzRlODBiNWFlZA==,"Rue El Fassi, Rabat 10010"
,0659-814004,N/A,N/A,Barber Yahia Vip Coiffeur Homme Rabat,N/A,https://linktr.ee/barberyahia_vip,"Rue Alboulboul, 1162, Rabat 10150"
https://lh3.googleusercontent.com/p/AF1QipO3adDWQJdafv_20gp1XcxW26tAZ2lpj9k5WUYX|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyC37DNQ_caynIaH-aMp_bS5DphIM_u06SiBqe9Z4sfmfDXVZh11ilcXbEG-EUcaL5PNHEg0uAJVSZ4-zz4v45Us002CnKXg3naMfqGVIaZjZUVd9Ujdh8dQxSLt73NvA0FHtImu-5yYima|https://lh3.googleusercontent.com/p/AF1QipNmEp2DNJThu98vDUKyZ-qOT7hHPPFI3kej2Ckg|https://lh3.googleusercontent.com/p/AF1QipOUA1FydRu0z5_8i1ktfoukWAFlJm0A4pcS70f0|https://lh3.googleusercontent.com/p/AF1QipNTH2fKjN-z1gQ_e5oqRWoPQXkvEbcK_IK04DjJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRg70ahVBjy6G18ZqamqQABjlbf6BSlBvrOdFc75zTuC0Cxg0Mo-nbB8u5gBsEvqYHAeT6WOcQzxw4ivomlcRkPcoAnW5An5-DBXCvG1aeGdHCrDRrvs-xX_t9v0cej1f0zlS1Gg|https://lh3.googleusercontent.com/p/AF1QipM-zewPwWKPZF8xRaD1DsrE_6p5ZEgvXgWZSKs2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynUUq10HPXaSOx4TOhlV4xF-ifr-MBGIcEdzZnPStwMa-rYpfPMrBH_KvJaWohQ-Taa8LO9anW-qMapWXmlAzE_8HsiFw0-ojtFsg1Hqe8gNXWqn1pl7MpDBgXdwIASB8COVUFNg|https://lh3.googleusercontent.com/p/AF1QipMWYlNuSOb33zvOG7qa84k5nnihANrIkD17x3oY|https://lh3.googleusercontent.com/p/AF1QipNQG7_-3UV7bZHChmmW4BfCsPbCNeiC-jCYcPhi|https://lh3.googleusercontent.com/p/AF1QipPJKDRezAkVUQwoOm5CzufdAArOk5xde3XGua5Y|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkkmxdM6LEGm0o6gnErBezrVo7Cgtq5jK-_drAiN1FSOxAj3HVZEFViGbtKh1LvYaFGJya5WDNkWbqaYb9rRp6TXNlg5KsCD21DE_yDtp6g0muuP1eRF_wtyXA6Rw0dSsG1BkJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKhV1DfIe5G1a8ktZ0goxkwVcu2_iZTGSzGuO4AjYF6axr_pm3IVheYXKK0cc-Gcz1EliRzUet6w0wp7xvgYvSBoIQca0vQCswD3PgBEc4HDubfKBuEPDjzHmlCIRZmPL4x91k|https://lh3.googleusercontent.com/p/AF1QipPgVYdOUcnckCtg15i_01Y9XHhGeOQPK2_8PozS|https://lh3.googleusercontent.com/p/AF1QipM9F_YcM0XKSk1b64vm8m1pBj5fVXVugZWeIoca|https://lh3.googleusercontent.com/p/AF1QipPdXAapRR74uT6dNrC6Hu7o_Ngd1qPq9wQRK69w|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBpC0gVu_e_ZdaYBLerzFLEI0WKqBffRM0Qk8ENnGkNTlpB0ZEIAtTBHBn-4KSQpIcAkaGQ0SeOlAGcC2lVYdTyt4piybFJGif5p92BZlwpNatjqvxzzJ-TNikjIfQn-QfpSWz7Juksok|https://lh3.googleusercontent.com/p/AF1QipPdauOo0Pys4R4K1tp2-OsvaF7UlpI1y_fJCtvG|https://lh3.googleusercontent.com/p/AF1QipN7vDzHwGwelL560dltWMJVYvKIEjnVChQzEWxg|https://lh3.googleusercontent.com/p/AF1QipPeuOVN7yrYb12VjPXPZUFdsuGKMymgKLI3G6A9,0662-840084,"4,8","Services
barbershoptheprince.netlify.app",Barber Shop The Prince - Coiffeur Homme Hay Riad,https://lh3.googleusercontent.com/p/AF1QipO3adDWQJdafv_20gp1XcxW26tAZ2lpj9k5WUYX,https://barbershoptheprince.netlify.app/,"1, Rue Arroz 313 Mag 11 (624) Riad, Rabat 10100"
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxplkbBErpA-BjMfkR3PcXLhNSy6xPqqvPW3oD6wsq8_WzPnKp6lmIICG5DfJwPA-JTA7zKryDmCnZmDUYsPALyCSAksn5YZDBLqYulIHXxNFGi4NSWZ4s3w3WgjoQNfZ82nXddhWnGS-k|https://lh3.googleusercontent.com/p/AF1QipMqDh2qs_5cZatJuCTyKQDtMsQPKvL1PtMcpXJt|https://lh3.googleusercontent.com/p/AF1QipN19XlbDxaxEg-sWWcsH75OaHjfB1-hnSYtEctT|https://lh3.googleusercontent.com/p/AF1QipPVSIw8jf9j5Sa9lJaIlPytXeE22wWdsKdPC7dx|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7XZ2L_ntquitE7sltJXC-Us6nHOvJgU8xlGkvWjyTUQK-A7vMEIPW_3PSbJsK_ELG6aB16eAPv6o-vzbYk6uIK_jFK9YtEJsby2Lwlmb5BgUOMxtACitIznXTURMnc7nzKjKo|https://lh3.googleusercontent.com/p/AF1QipMLhPykmXiTMEDnb4L_zoC1UUCCT38LdHqi4T4Q|https://lh3.googleusercontent.com/p/AF1QipO1CWTMHd8f4KHRbxPI9p6WwL2gJwkP2gEpL8js|https://lh3.googleusercontent.com/p/AF1QipPFkiRpUA5KsXN3fdn3oP-tWxfyRpkRZVMRO_2o|https://lh3.googleusercontent.com/p/AF1QipOhij53d8CP6wcyYid3WOQnwHxHoe1XKxvrV5Uy,0661-758505,"4,8",N/A,Élégance Men Barbershop Salon de coiffure pour homme,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxplkbBErpA-BjMfkR3PcXLhNSy6xPqqvPW3oD6wsq8_WzPnKp6lmIICG5DfJwPA-JTA7zKryDmCnZmDUYsPALyCSAksn5YZDBLqYulIHXxNFGi4NSWZ4s3w3WgjoQNfZ82nXddhWnGS-k,N/A,"Av. Al Massira, Rabat 10150"
https://lh3.googleusercontent.com/p/AF1QipPh6kBBjg3EbWlOAFkF-Lth1-VR940mR96rBRym|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyq7G4Hh4Gz4tlaLM942NIayiMwSAPtoPisZmGr3VdqiFBg0jyQ86Q35ImpfWLdUCtkbb4Xl-JJcMRDSKQA8-lCWlt8BwUO0J7GQH_XDcKWpMqiJpurgpE0n8yQzPF7-8MV-Z7HIA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqtYf945sPFal8tlq-oGdfkV5X5RIbVVV6Sp92UkIzc-2hHw4ieiEV_9TSi5gv9P-_G9olgvbIXYtEteuT1yRzVm4Rpr7ycr3OBwH2LsbWN5VT-ju2r3Fia6EAwl45XptzuQ0H|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxoxfz6Krsy13jJMrNY1891iI1VJR3ck04AJq0BE48f4nLZq3n4wiMbWj1ENUDSX9PjHTUk4Aj1aTcJokdQMapPQBNVax_jbBMSIUCLa1ege_lDeJDqZHQAAOlydhbt3B8UD7tEuoH7HmIz|https://lh3.googleusercontent.com/p/AF1QipNlSHdlAmGSnZGKMwoq2tQsVJPKRjkTKPR4go-v|https://lh3.googleusercontent.com/p/AF1QipPpdxCjDugX8ukVhy4Gy451Nh9laS2xCHNhUvPs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxr2QyridpStOQO9rqZ40te0GFlGi2xJ7shl9f2_Abpk6LiiegF7Jn3nZNYzEORpr9-Pv64zl5XNdxsNKJ4Mp8K4mqYPD1aPb6psEUEavPO1udWMYB6BYmouTwBreWsI1p_v_NyKw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbqMVHQRKlc3_k8ATQ32fAJRvvd0_hSso5LzSdrM8WUzTUsdJTcuF1MWvgsJsimgV3hz0G3VsBsi_jWeJUOZmHzP4_tQGQ1mAzi7BRmMT0PQFsVUTWhtGRqgk_qh3iUbS8gywl|https://lh3.googleusercontent.com/p/AF1QipMx4a7dpiEVPEqSXmeYuDzVe1S8ipFtH5gBRiof|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSJGffeI0wS5m1YBm3_9p-UCZPmPrSnjyBun38hewUqQNrlAfMlEe23j-PUAXx7RdmkwPK5DSMBfHDOJU5DAPpJ4PkJVgD29W6ct36uVF9cACbkOGlnFLDaNOyuiTX4b6XG_LJSg,0668-688869,"4,4",N/A,Barber Shop Factory,https://lh3.googleusercontent.com/p/AF1QipPh6kBBjg3EbWlOAFkF-Lth1-VR940mR96rBRym,http://barbershopfactory.ma/,"33°57'25.7""N 6°52'23.6""W, Rabat 10110"
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxDC3P8fD2IZ5j1pUe1ic6Zx3jqu5eQBQ3a2-MR_1bt80yfQ56FdtF8rF8EIGoMkMKHixmVFQRcXE4lWXPscC24O3__eY_3DBLIbNSFqF_RXOO-7jyGnt2pvhL2shwtL6qhqk5fhQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIfWozCykJ6VZIUpE7lc5zo-9JGAs4LLU_aFbAjRXSLmYJ4ftttyesJ9sWNiNsYLNs8ean3b-t96D0MFNbBmRaCnHK06ObHBJiJZ3tD2Hg_9BG3dCNpS0uywdjTaKn_G_64xMy|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxscFEWsGXzQAHxGo4PnnpERoIi1g8YTsa2s282A1TiH3E4dBDLIJ76f9XokkHFC21xOMAWtClB_sTxwh8k5H3DVluFVfuPHxvqL4e2opd5qI7j4m-Ly1VBsyY7Eq_mphAH63TK|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyuJfds09353rf_TwwHmR4Yq1a2M6dOdoF_YIEiMTZioWmF2j1be6dv3qvcc7mn-6pSp8Il-c9xPW84DjeQX6hIWi9Tzl2cgUBL_paem1a03J5rXAOPDCmUJiIRKBbliSBLzwDo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7Cf39W9dsYwxUfMM-1uiEturCSUvmQ8R2AN994RyokyTFMvzUUhrS0-b1ALQWWk9qrwYvF4UitiDidjaOI6GUcjF1A59MEgWVxo3j5JoUVmG4hezHdgNUcXQ_3DWuSdjmJio3QA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyS0ub9zWyKOwNBQ0bbhuspxTwd-9kje2ljHWiOM6iBzqvF8NtmUcbDfepABRCY3AO3Zmgs1qWDcvvWL7D7bOvYB07q4hzrjU87wNDOlj_nvSSQPyQksfjlzhZk4hHRqON10g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6C_GNNRkH_uO4S2sbdccOrKLH22bWv4qnRM-1fZ6yF2K5qXNlFrHYUFOxNAM4n8ajfEl1qJCkIeTrjkfKmPbaZZSMuRF7JZf9raWYh2qx3FMOl82W9k0sGQ2SSYxbW4zUvYv5|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwsO7XAiaZ4r7-T2W8fPm1AbEJj7ZU0PMeDk77n4r1gh7Xmrx_H41IoIA4WxgqXLUgX1yV9Pi8OjPwR68f_tQKulgwnLd5EHf4Alg9Nw8fMnIrhKLzUKISps3IKo8Qz1yHHVz8r,0635-363679,"4,5",N/A,LE BARBIER de rabat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxDC3P8fD2IZ5j1pUe1ic6Zx3jqu5eQBQ3a2-MR_1bt80yfQ56FdtF8rF8EIGoMkMKHixmVFQRcXE4lWXPscC24O3__eY_3DBLIbNSFqF_RXOO-7jyGnt2pvhL2shwtL6qhqk5fhQ,N/A,"X42M+5QF Centre Commercial, Rue Arroz, Rabat"
,05372-01140,N/A,N/A,Space Coiff,N/A,https://linktr.ee/Space_Coiff,"40 Av. Patrice Lumumba, Rabat 10000"
