location,title,website,description,rating,images,phone,image
"Q5FQ+C7F، Rue Andalous, Tangier 90060","Ur Dreams Spa Tanger - hammam, jacuzzi, sauna & massage",N/A,N/A,"4,1",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx10TFFczIpgppIKuQK-0V9QfE6s6xOPJrsG4O-bvjLVxQZ7IZMoU1JMDcDLrEY9LeAaP-NlUSffERVfGClihdN26zLkU4dgOP_u_hsGaCLPwt5w-fnWgnyMweIjBHXnQOf__Fy|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwksWhJhkRubBnIg8fElxVQO01n-HX3dDPeY_PIEC0O1tX5sSs2TXSmbv8bjNZTI-BVus1BoLNGgWFatsC4mTcD9UVNuRAksW8G9iLO0DBU1hL-L4CIMuz7lyFBQg1ls_n6kUlr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvzSkFl6AjP26RdALl5Npg4am3GKZ6PkWcidY5KNDCiDYRvYnXXNrqmbn82H9lWAF3H-ijvyDR-Qm-RcuQRGIG0COCe5xKqYO99nSQ9-pxTr0N3apErqrRhcll4hCJwt1ptDuS|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxt43UBQfp3diVfgo9mt6_4Q4-nmKgRFzCMsmn6vCbg_9cuTIeRt0axLcE-IpCvi69nYOz-9jqaxz7pFnJf8J9Ho6UBST-CugUoAn_Ah8pGEKEx9hzQGBbZOBCdRCYnlIUEssDwpw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsYfKE7NotsefyvFure32RRvpWdJPzTTDv1w98o41194J7l4HC_MI1uAr1GXGPgwO_2hBtRDW5LMUeMZeNyep_ctcC7MQ9ryUZDj0OCb_0q2_wYpunHRijTS956vvd0uncEte_4g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygpMs0hN7hwLYEheIIrndqVoQ5FsnBdfncMu5OpaDHTGtAEUGfpq3SF2t3ktcmBfBnzT6Agye-1oH2S9KCAn2rM2hWEaowDKNwONX3MpUoBsgL76MsGJqqKW8B0JVRKUKoBSn5|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyMqa4t3-2Z0V7vMd9OLteWd8OdO3ph8Qwz5W_02c24wJwXwtJKNBIoDVxh5DoPT6M_quos5DYXl-aOCBhICTf2bPfSf3T_Fk0eFdQVZlPdbAE3UG_EbLaPPaJLnU_sFqLjyfNS0Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHtxz-IHMSS6YBqLw6CVP51vuYJK28BvgkScq9NAF3Gfv4LVJ0rwXPjEVMalrhqZRyH6FgN4TpWJUUfCkQmYdSjfOKxPwzqmtYwO-5S_xRPCzXysjU_fuXulLiyOlmx3cHSqYf6g,0647-888686,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx10TFFczIpgppIKuQK-0V9QfE6s6xOPJrsG4O-bvjLVxQZ7IZMoU1JMDcDLrEY9LeAaP-NlUSffERVfGClihdN26zLkU4dgOP_u_hsGaCLPwt5w-fnWgnyMweIjBHXnQOf__Fy
"Al Haytam, 1 Rue la Sena, Tangier 90060",Hammam Zaryouh,https://instagram.com/hzbeautycenter,N/A,"4,8",https://lh3.googleusercontent.com/p/AF1QipPlkaHBkOqZOHY-1mgq8rLWD2F-rJVLJ8-GGi9F|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZHNJlDmNQrxafO0g15mUMviOqqTo9Suk9eMT1L8mjWUzXEd26cgNURO_H09e7qeV-3QG9JceUWxXtO80wRTmkN5fAk4rtSUVKR3Qx9mpJgWKxS5kfnuZAahg2cYnn5lX0CLgC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzk5qA4YlWWnvSwq_xHAKSyz_fgcFpcQlna_nQENzODVwQzz9cx4Ry1gQ1zi7MzxQC1r0F3kK4o53z3oXnSVQumb4Wu1NqhI_-Soz7R3Z7AqvbcbzmicCSqfM74NfoIgzE4iwBRjw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCE_UHC9nIuOOi_AHBg22tvUciRrSGfufVElwVq9KNkeRdNLCzmLRgEnlC5RpJoWF7o3wVwcC-PcXaVvIF4E7xdhkLPl6RGTauIPt5lWxw52mfLJTAaVnzZKQYmDa0aXNDuCg9aA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRbxnolIxRckL_0LyJhS_p5WfFg9CNzZSOQxcb3QF3biw8RC9ASdpBG-otpdviN2wnlREswxAqXjD_rKASzqOeQO1LsdYo3zGxpc63a6jWbsb7O2iDNY_PWsbVOl3eI9ysrOlZwQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyjhGK_17jPHK40MbbUZv6DqzcCNdulcDazg7khalZPxP77ywD9rMdx6JJHNEtdQawik9aO6M_30vVtXUEYp0KBisdLTCefICcTdXjylbPGBfofzvA6vwhOvStnqOK8LtyfDAvf|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfFrJ_s1KqtU1QeRvhG18bzVbsmk7CdrLKJAG0Zo5oIgh4qqENq4FPOl-RW8V3f0A75VAyjdPa8YqFfQxzAdAuj28JhguBTc4TFQ2NY2TVFFHsJ6QIHaSLKQpTvHEWBpKW3jk|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOKof7NS_MGS2RBK5TAZKAqFY8OnFCoxUhm4Gl30gjI9u8KWb64rOI2mW_HcZV0Dy7gWB5hQqJiWZ5s6rs38J7B_jk4MbTTJlR-FQAELSDOIIzw82_UHUkj9ZtpwbWuU7G1Uqo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlCohDleH-gsfI53ptOm24A3G1VpskPIIJyzVT3GVv606zBFiDfT0lb3Dup8ksr3D9LRSv_Yr0Sfsq2KU4yHUFsCgBTpp-HVUdEf_PH1KX--OlY9tlQUk0U1fnE8oLLzpZrGlj7g|https://lh3.googleusercontent.com/p/AF1QipNpQHRM4AGPpnCWiYZ2GYhtF8BQf_eGz9c-ZoOX|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweUen7BqAmlzr5WHawWLwRwduJGSsHhDA5tGYRzDK3fMJ_wQvUSdTwlyR-JJsduc7UE8t3E67H3RnOuxCbTotlVomUQztOIwZC7AVwP59OnjWYAZ2cTJR7WrR6w59Ec_AYU7pi|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzU87GLT5rMc6SXdsAEZCEepMdZT-KVb_x9PzXO0UhimOAUTEm4hRhF_jcnADFJoNp4Bet_4OcRZqvEDZlzmLzYPlMm-C0a0s4LcnFGNNbTpFX-4yJ2O1gQDGA6A2nRoPKejwdurA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxu5zuIuInR5nHZNFq62Xuhciq4mWO_oRYiqJ5cKCa6nhCUA1kkCciRJSvJ6t_TiyvHbjOzbmwpA9kX1qAfkbQygnxOZKFToTd7I3gb2arFJL69_CRvEba4W5vbYyBVI7pu0uz4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYXNXiyJbd-YaGzjXaZUpk-klUf5s6mHFDpcavbs9ifTIBSuTuPO7cXoqbot7eLUM6XVw9aA-ViONCrj-po5l9-Vr4BtOgbcEg7tfGqmPY4Rp-PXmMbDDGy1xUlyXCBaJjmME_Sw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWgL-JWwP95LZfU-ekhTRkbHokKAN0Y4y3ssPa91bEDudUMqmjkl-LEIzuiUNAhIY0FBihOzrF3KAowHs7OHgZjXHFWTBPJcqAmPKvyDYOk7tsHfLUJVkgdgPc-DDwkvl-JhN8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGp3DxXnJptcjLnlXQ2TQUSgd7uOpoip0Xi4XTGceuitMBz7qKozd7Bt-K27YlJZDu0brVLzK2kvVt8H4RE2V46QRdWDsSAdhQBSDERnVceMgrtHGXt-xHYH1qQWZuBhaxdIOF-mj-t7Cc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy-l1ccy6Tu7pIomwRhVtk-yyIPSE86CklOjQujSLFb7WioK4Ig6zEadU017yAEyTpioukS7HRedufLWNnQrSB7cpE9enYUgvL_mKNx6BcMe3vP8OvgemzV0x_1uFQr7eIl6Tez0w|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx82gEg0SAgfkIn7VfIVyMyhwZUnUSdAOfmlo0slUF0C_iVG-EzfsCBFCJliXpztkniGlihshea2yfGJ_BHm7bztXF1N5X1qr7PXi2za3aspWc0DSWItszvPiXvpSZ8LzxXVS6qzwfq_fd2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzs50gI21bm3jodlo1ARP1n9afRwjHAKbcGyD4hS6pOHQfBMmvPwHLzD12B9lCL6hW0LBoPDLtAfYUkvSirJ5y4Y4jB8hyPJ0aBb5USO7HkggZ4k6cjfr-wqLKsQ4kFYZD7dvWd|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxk4l-365LkLeZAQOkaeGPtjTIvEihnrHrxtb2RPoUFJz9ei21BghUKgmLFUUh3W41RmS5OqdHUXEi3xXWrPGnEoYh7qC3xGXoSSGZ_M4fKaGPVyaWROgtpXO6ujujMVYkAokDGbl2Rnfk,0773-221110,https://lh3.googleusercontent.com/p/AF1QipPlkaHBkOqZOHY-1mgq8rLWD2F-rJVLJ8-GGi9F
"Rue 39, Tanger 90060",Star spa,N/A,N/A,N/A,,0662-620059,N/A
"18 RUE EL MOHTAMID I ABBAD, Tanger 90000",By Sophia Spa,https://bysophiaspa.beauty/,N/A,"4,7",https://lh3.googleusercontent.com/p/AF1QipPOv0xQrc8XUdMUvIFLRtaUoKGMzJf8n-s5QfN1|https://lh3.googleusercontent.com/p/AF1QipM5wN2NKBWfn_x_62t7V_F_uQcx3b90OFNraPT1|https://lh3.googleusercontent.com/p/AF1QipP25LDv0-Nzi1ZifXkTFRlhRuTegILabhSYMGfC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyQPBIzHK7yZ8c-LTRQLyBbnzKcb2JG3CB-umVrx7UYFvy6JG5xhMVyp28fR6b-_sai-EzgjDsJ_wSxzEtzkpB3EyAw9-SjkKXo77kwHBLCcPJKUD8CKKRblO7XvCVsFFFm5HAUMPQ8j3r|https://lh3.googleusercontent.com/p/AF1QipN_5lHt8GxyG3i9EoB1GEzOc7t9QQCYyJ4cCy6D|https://lh3.googleusercontent.com/p/AF1QipPOdUk17YnOGrSlQLQBtaUKPQmcjrxFzYbTDVTa|https://lh3.googleusercontent.com/p/AF1QipOjlnsHkVAnhEGbW5AoTMdyUDWA5Qvh6DWP8Xuu|https://lh3.googleusercontent.com/p/AF1QipMG6c2laHu8yxkUq0pcyOt_ooirWcLxBtEF5--7|https://lh3.googleusercontent.com/p/AF1QipPa_Xrt-NOwbk7lc8tC_iGCjX2cs1SeWRcidqVE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWnL5CQ3kZ8z5ru6veoRPwslhc-Lus13n6HviXnfqhP5TTcxEcyzaIYK0IFAMp5e4EXFN-nQeyW1awgSAV0C0sYkvpnLCtNEQuWY2qBmyZ2AuVdkxD8oKSc_aE6v1YAq-gRPND|https://lh3.googleusercontent.com/p/AF1QipMEkV71rqbT8GCpHvvUswMPvrWccVr1rwbSo0bs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweSQbX_2aIN5RLOepJ_vJ8pfPeWFUrnMobYJQ_-sjhP2KYrE5SX1yKJe9OdmBRQcCU31TidKaqDS6G20vheB_QJ5-q0AMw_B27wEJbPcCYP5uNZqhadAfYS1c54FoBPdQLos7Y|https://lh3.googleusercontent.com/p/AF1QipN0LskuTAHZPsdjAAdMnvKRAkBLIxCKyo0FvWsP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx59uNKl3gmY9zYvo7TLvJRYxYzUqA61rFg6SafUs4CWfV1E7pFvityoGpfHLtqAiTwjVcAcmmG_Q6sip9a63Kb6XSguK-seWjpPJkM6jX5789dVN5-L0xc3q2jaA_naK04cm6wbw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6vUEq5Xnb4KQRlNLbxkAeR3m3C_wsk6FdR8s1rpnWfCMfn43XmaOd_jdlpglBvq2wtFgBs6uZh9KSU9xEjzt1YA59STES6YoLVqSulvutzzuT6eVIf-tfL7N8BKI2Dgxlx2VoPg|https://lh3.googleusercontent.com/p/AF1QipNpklgm6nBQRpylCkhCGYNC8XTrlzHSJCtPXW5y|https://lh3.googleusercontent.com/p/AF1QipOmRGw-u0YDt4n8wi2b4eas-YjspAvvUsLmKxM8|https://lh3.googleusercontent.com/p/AF1QipO6TZs7UESdCMbkagsky4mR7k0Di_5PjsG8PO2m|https://lh3.googleusercontent.com/p/AF1QipPIhogy9qTCGCvmc5oYXvxb5RuAUY10eEpQZ3c1|https://lh3.googleusercontent.com/p/AF1QipMp3qYDRqb0bNOpxPXfoxG9AJreGeOCow7Xm_TR,0531-069828,https://lh3.googleusercontent.com/p/AF1QipPOv0xQrc8XUdMUvIFLRtaUoKGMzJf8n-s5QfN1
"Rue Fquih Ben El Mekki, Tanger 90000",Maison Georgina,N/A,N/A,N/A,,0663-402011,N/A
"Rue du Mexique, Tanger 90000",Armmani,http://armmani-spa.com/,S'identifie comme géré par une femme,"4,6",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziF3nG_zD7ojWcsNDG118CHoRH-_tCOkk5bjkyi57_n3P0CCZPbxwFROAJXlx4tGJ97sLKmwSwqMWLHslk0nHDfnEGnq8gGdrjVulqExbqHfJ70Ja5rH9mTwbQBErTvkpSca61|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYUWsrWKeWuDJn2ctHBEjcubp-noq_m3Ps7CsBGgU8JBRAGxf0FHpmXQ6vCtm7fPZ0RaiFkG1R0NAVCnj0TBzxbyFB3TZcqkbcJqISTF0pVK_qRhKP4a_Z5JrJMszeIBEYnVXX|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSvvIPXS1nkJaSeFV73gGzA6S8H9hgmMupi7FKg3xcVmMpCJsdrxeR0COVeavQ-4g_EchM0-9pESOmIAYxHEwJyWrdKNmcDZ86WwUyqFhSR0PZMjrUSxQcxY7XbdDuVpLPGIfA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwwSDDlNtoR3vKSojRJT1Czalggt3wRRInVdCkQRDF9aUaiqG9Ye80DVKLH90hiX1TPEVJjjQC5g-VlFpXZPeKjb5avSc0hAo8cHt-jDWmlbtJl4voJO6YYYpIFEJH6OgyfK8K|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDndfjUrmw8YL49Fey6Op9jIdRH-vs42TmCcIFbzletbO2AzhQaNeNVT9_yczFR43suJTkAer1XYNZxEzjAqqZVGI2bcvyxxq4Sf4nBUVdzxH1Jn-QyHq45huRxWv_5KLOfmZ4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3wTePUE9XLRMCacu434accHlznJ5Yh3aacYqbABjVG1L6Sv_NrJ_ai-rezVMStSmvyvKBCWe93QFoCNYiP5IVZGfXoqGA1RIvBJ-MvqYba078lFXEQek4q2ykxD0Hd55tGN0PCA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwI-CXzLvkcSEtCI3Ncf2SrXVFpSJD7BHAStuDn6IGMuSpltqGuvmRDawVOpA3t7iuc-zxGlyGKwP1vetvqdVR30GIa2gHa4JmsChG5-V4yze6de4nN3in2o-ISpMQAk_CV4i_b|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcgPDH53tPP95iTamhTkFhO67SCkAv4l4AxqJkF8qGUhnIn_nahvdeqwnkrZkZHnZAPnv4MhMQT9NvPA4kg4WOrNj7yBDZmAEWl47HMe-EgHwChc0BvCATtKZz1IzFxzZvjfzK|https://lh3.googleusercontent.com/p/AF1QipO8MA--xL1zFvNDExnpz4tx2ACiuY98Oz4b7iE-,0531-069971,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziF3nG_zD7ojWcsNDG118CHoRH-_tCOkk5bjkyi57_n3P0CCZPbxwFROAJXlx4tGJ97sLKmwSwqMWLHslk0nHDfnEGnq8gGdrjVulqExbqHfJ70Ja5rH9mTwbQBErTvkpSca61
"Rue Antaki, Tanger 90000",Empire zen spa,https://linktr.ee/empirespatanger,S'identifie comme géré par une femme,N/A,,0660-268491,N/A
"8 Rue Bilal, Tanger 90000",Verlotus Spa Tanger,http://verlotus.ma/,S'identifie comme géré par une femme,N/A,,0664-414610,N/A
"complexe la baie panoramique, Tanger 90000",M spa,N/A,N/A,"4,5",https://lh3.googleusercontent.com/p/AF1QipMfZWFi7XmzDP22BKq07-68xqiqBQ1ZfED3OYqE|https://lh3.googleusercontent.com/p/AF1QipMv7DKacyeRzQca859NERhX4pMkgTfyX9U-2ea_|https://lh3.googleusercontent.com/p/AF1QipN-yBQ-p6wXLzy5Li5AnW-xWummA7sTi2MzauPP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSztuipASHOGDYZthCru6x29MOfcZB4M0slupbMxOj_LTvx9gjZu5ttrigldXElFDQaQNRZ3IHWE0R__MXljhVfZHkeDVpcnmwGuBoR13R0aWlRCV060Kri3NzmDCY3EkTfWpUgr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSycKVJRW5Jja_wVWTDEKa1uY94_r_j_0xaxwtsHdMyDtBvTd3uKRYUUd7cmLv8q842n73rJVaukeqOq7ESJ6kxlFQJkE0vbGdGT5Rf4o_vrsgDmyVIfDapIgr3KuEX2bUJOZQEU|https://lh3.googleusercontent.com/p/AF1QipN3yjldpTEejULjkM7OkHWe3LiOOK7b9tReEs81|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyC0LNGUsdM11QLxZ8Y3YAS0O881pPOEPLu6CdzBZSwt9cDk0oPKtv02UhX6Zvf79zHWPZXqZxlBkSk25cYb-d2tYe1vzdb451bxrQ4URz7HSteYWyTbfiHa6GDYitMvBvFACc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzP91wcBEch00AhNa5hR_18wHNTps4iokz1hyRSaicycIa1_YqAAsT3hgh7Xx-TrrPfDCosuUgemYICD9iUTRxszotqstMa96d6eWUT_hcAGtTjdZTbHVEyFgnwZaLtCjIMEtFtOw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVIdoLAZrB5XZlCCaEvHQgz9R3knWPYHykPrQ2vWgnkoRtzwVUsEbrDecHaOAj7iwKuqvKSth572qqgmoY5W1HR_QiaWSoGWqDeh_e3UUf-AGjIB2r2FyJx-Myyhpuy4zU_Wl5|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHItXNJxYp9EjVTbTpsdAQLGkkrIaIv0ZShsyEQnuKvucKNCN1uLEJPkGNCF4bJBrXCSlLN3qDwdtHW6kxUFbi-bWv4VT5FDwH-4vYXceNFudGraVM-cy7fpnVDDdS8WV7DuT36Q|https://lh3.googleusercontent.com/p/AF1QipP4AKHohn33Ue8_4PZ7MU93FmlvhgPBpKViQSxy|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyEVzfHzLsr1vS3aOj_0rsoXA75bo_vUB_IwpY18FqQs-ZMTSVRSZPnq_wAIkrYOjcyJxIwxq1YMcjOirrdbmjUZcsJz-hNwezrmTHtaZPOC632BYuFDxV1zawWo5ykWJ58440|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw8bh3AdxU9g7OsfErT6crSbpTxGvjXDKPph-mTXqJVIqhut9GwGIW2PfDdgwywbQC9zrGBzA7rV4PyLOWSS4X0I2-bSPccxlK_m8ClMGoaEzHjRPJc2V1qYnDJG4oMmTjEJdc|https://lh3.googleusercontent.com/p/AF1QipPlm6sw3psT_Keoj9fq4DkLvT9nWySLeqHANHja,05393-01103,https://lh3.googleusercontent.com/p/AF1QipMfZWFi7XmzDP22BKq07-68xqiqBQ1ZfED3OYqE
"Khalid IBN AL OUALID, Tanger",Kamakura Spa,N/A,S'identifie comme géré par une femme,"3,6",https://lh3.googleusercontent.com/p/AF1QipMgsuWBnWLX3nHOf-G1oEOHANGpiLzloxyDvZaC|https://lh3.googleusercontent.com/p/AF1QipOZVqIHmzJ3bvNXEcaIXDdwxdlWdSYS1gstColT|https://lh3.googleusercontent.com/p/AF1QipMbS5inZJ-uGhDbyaEXag_5141BSHpUpiSJoPmO|https://lh3.googleusercontent.com/p/AF1QipO0s01tU-fEDcAyYYMpoW4AeNPbjS8ZdOYlbwqY|https://lh3.googleusercontent.com/p/AF1QipPSVmauK-qyh5cvkI7lTWVMmynyrGiZFhgDIqS7,0661-914141,https://lh3.googleusercontent.com/p/AF1QipMgsuWBnWLX3nHOf-G1oEOHANGpiLzloxyDvZaC
"Rés. Aurélia, 61 Rue Abou Alae El Maari, Tangier 90000",Vip Home,N/A,N/A,"4,2",https://lh3.googleusercontent.com/p/AF1QipO_xax7hOJ0_PZRJQhSE_kCw-6mTR98Tn1TopB4|https://lh3.googleusercontent.com/p/AF1QipNXYbtvrAEi4v9_HAV8sb3C0gjigl3kEYsDCyRE|https://lh3.googleusercontent.com/p/AF1QipOg2BIwpTtbYe-th7eCpRFxLlVqc7PJ0uQK5faV|https://lh3.googleusercontent.com/p/AF1QipMuzsRUV0KXJ3TKwFgnbU65NCrhzPmUe-xt15I8|https://lh3.googleusercontent.com/p/AF1QipNLrr6R9fXKM-6eieXMzJ3QRMWD_IabeBTHZp3U|https://lh3.googleusercontent.com/p/AF1QipPm9c8UET40aIBrl9zD7qF8nvvPFChIDDqxU94A|https://lh3.googleusercontent.com/p/AF1QipNCTALjwlhDM6JscvyiV1U7vZ7c-NibPSXE8JXN|https://lh3.googleusercontent.com/p/AF1QipNiL6F7odOjmvcAFzq1XBcz5BoWZzgFrKOwy7Yw|https://lh3.googleusercontent.com/p/AF1QipPu3w082hFG8vQQCSKgZWREoj6lDsnw_gMjfVTZ|https://lh3.googleusercontent.com/p/AF1QipPDIRDu4HIbW9XmwfPDkRqBNcoj2zKmw0-WSKaP,08086-21504,https://lh3.googleusercontent.com/p/AF1QipO_xax7hOJ0_PZRJQhSE_kCw-6mTR98Tn1TopB4
