location,title,website,description,rating,images,phone,image
"Q5FQ+PQ8, Rue Ibn Okail, Tangier 90060",Spa Simo,N/A,N/A,"3,9",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkUw1sdbPp_gsc3CA0uS8Pq2jUz0UWyxlmhjnm7O-sctrz5_ghUrWIAao-D9ludJdjj8_kTqfGbkMyo91CGxhCED_eeURfjtkCosy3ZnqFLwbbWRkY2NgHkMHwWNjQ6iAqpNdJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytlIjjDp9KKdrLzqRbdnQ2QSH5GNJd090U8CBPLbx3CJvoSiB0BAYriwE32xWJOgK7CdheD2_BoiC8fXzsZ8vwOKpGOPt7UIAoPeZ6zO_Zu8Ru3rpgVlAT3Uf8fNaGOhVOv6OLig|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyt2yo1xGAoUbJrguohRlwpthgFPMpo_Z7LKykd2uqMAfJaJX18KL5DqTP-i3jbWp_XxSx81BrtOqnzXa86NKMGw430TGDWN3xvV1tMKqSQWZomFYGFhSkaf4p2dQxyAaNZ7NTaHA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyy4D8P_8oVg2_hVWR7f7XtsJdN-Iqvdk6cyNRXTcJUyFHkg8mOYg2bhWlN5rKla2pBQHcicpgK4EH8hAUJQ2ErWY-z8uiTVR5fmHsTuUYZUtMnbKrUebjyuEmlkfACoBIu8gs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy-KYJqttQFtBWc_RcA64mAZUwvyVxWqojaYRyQxThrj7Aj21NslBTGa4n9HiKG420MSq_S1K71ouhin9LQVc10nEAg7Lz3jXmtDbiJaYhItpz7T0Mrs7WpURdTtV2ipOfl7oCqAQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwau-7XMCUF7336sRvVfXiskjHAfYHF2Rhk0MKX3pK20JTbPej0h84UNdiy24akJNl38PcYQXn2MuD4i1JU-f2f3fZ8Yd-BuPWQnvEuXVBVcioH31ughUXCTNB6klOKePrx-YtAdw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBqc2S5EDL6BthZMCmnrKjsdbXBxdLuhYsqSyzXMF5cvJ_-OcrkaGaFbII7JBPGeFYiak9_t9tg5yXsgvLPSV6jEEPzAFF6b7KcAp-LP0J_IkjmB41GHmNxucJzgg6ucFNQJgw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCqAvL5w30y6JSK2y3JKImd530OvfvirCSfIvBgfbafDcDODfTVh8iXxMvKK_VCleMdydBrYAGIwlJ3ctN7ghvV0LUyNlVAX2OxGsiGOfWSzL_Lsdf7xuTfiF_ZkFJOH7U0F0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzZ0AdsxyKQi0GPr1XZwfLT1J0yNTDu0dWE-4rKeA2NxATNIuQEm-TOMP090vn_o8yRuHif7uKVLvh-jV67538EAcdpZyLU7Umw7smT3kvepjXSd4a13jjgyaVShSaQNZMgyQ1S|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzp0RP3bjE0FZLBzy4_K5vVgjE1WcsxRJbiFg1KNyTNDk9so4L1am67m-JpHwBdG-sSVkLgSXlh1O1OkEVdLD8ooywxflXZumzIanPgVuZd6T2ZEBaO7yNuGQXmpJdG0lCa_MH5OA,05399-45210,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkUw1sdbPp_gsc3CA0uS8Pq2jUz0UWyxlmhjnm7O-sctrz5_ghUrWIAao-D9ludJdjj8_kTqfGbkMyo91CGxhCED_eeURfjtkCosy3ZnqFLwbbWRkY2NgHkMHwWNjQ6iAqpNdJ
"2ème étage, Centre Saada A, 28A Rue des Zenata, Tanger 90000",Bangkok Thai Massage Tanger,http://bttmassage-thai-tanger.com/,S'identifie comme géré par une femme,"4,7",https://lh3.googleusercontent.com/p/AF1QipP3dJwfK4d16n609hguCZadSegysyQA4RSejm9J|https://lh3.googleusercontent.com/p/AF1QipNIt3MidgquQML01GPinJsVENAXXCs1_rvX_4Ua|https://lh3.googleusercontent.com/p/AF1QipOybZ0rspJZh5KiiYLVKSNGfHQJX_G-2oBPEUx6|https://lh3.googleusercontent.com/p/AF1QipPOy99YGKCAygIqqxPIUkCUIgVNEb9J1SqKGuWg|https://lh3.googleusercontent.com/p/AF1QipNA9I3Iv7WjkhE1A0pRcoq1ETzJr6YRQQFUJLy3|https://lh3.googleusercontent.com/p/AF1QipMN99GrdKNLdVYscbPQJ8Uoq2xQqOysjylUqojQ|https://lh3.googleusercontent.com/p/AF1QipPIytGkBPuPv7kpKvvHm856XJQcNrcASrf7r3qE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRLU3VKABK_NxjwxU2ykmKJ6UXogbeAYx2D_Nn9J7v5erLks_RwjpZZlqToAVgr8HJfUHi-IX3qnF1h7HLJoHtDaFnaMyHZENa8peitMLppniJBqk1PtHiFgK1y9lMIO91P8w|https://lh3.googleusercontent.com/p/AF1QipOPMibNHUCtIxJm6n5-264h8ybkmyq4NDka5aMu|https://lh3.googleusercontent.com/p/AF1QipNuOrUZIT8ryDWd_CZv9_y8agw4EbaQi4kgViHv|https://lh3.googleusercontent.com/p/AF1QipMmqcqfXrPSPFwk3YkSmTPsIWeSD1UdWVDS8c78|https://lh3.googleusercontent.com/p/AF1QipNQ5BSXUUqG8UCShqfuzm1yhPMOgE7OfT1UvJoe|https://lh3.googleusercontent.com/p/AF1QipMZIJKddViiNf-wWUkA5IxImfsGxjfDbhiId4Wh|https://lh3.googleusercontent.com/p/AF1QipMmmC9UK6uJ2NVW2tTefVa3OskZvJBvdJVUY4EV|https://lh3.googleusercontent.com/p/AF1QipOF2H7Tmx0ZK-WIA-WqWXyYvfDmLoasvvZOUF6S|https://lh3.googleusercontent.com/p/AF1QipOnYJMt7ASIcwhX5QtdAYmfvQn3armNj1PQlHqg|https://lh3.googleusercontent.com/p/AF1QipP5em8i1hInHuEKct22HBFTuWscsqO1aG6PtUmk|https://lh3.googleusercontent.com/p/AF1QipOJ-5cZhZO9DH14qiuxcOrijvvSDJfD5UYmsCkl|https://lh3.googleusercontent.com/p/AF1QipMtdpEZQ_yjpPz9VUZUOwhTSvpQpv2ptIGwWc54|https://lh3.googleusercontent.com/p/AF1QipPeG64qMkCZuhfow2bj4vjqoocEdWa1zsNTDLz4,0699-969224,https://lh3.googleusercontent.com/p/AF1QipP3dJwfK4d16n609hguCZadSegysyQA4RSejm9J
"rez-de-chaussée, Résidence Baudoui, 34 Rue Antaki, Tanger 90060",Smart Body I Spa Tanger,https://www.smartbodyspa.com/,S'identifie comme géré par une femme,"4,0",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6eYfcBqlWUB69Qn4Xj-v9pE2RCvOTaPNbf11E-WATwmoATO27BUoxuvOEIthta89985ETowUuGth3CEwceZITNrxoPcAdVLz-QHPA3dtBxi9D6z6Ht3Z6fhXMwgr7OZYRzxHJZA|https://lh3.googleusercontent.com/p/AF1QipOJOsPzyYKYJO1iZAZOBuhzE50k3KtLlfHc5Gnl|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSypQi2JSaP4sUKfNZEDt7tyKBldcm2zZtqAHXMHvbam6vf6qBA_QiPPWiflzeh4EkeGn9UAEZgyTdfSS0sYnhd4wTddFTmjGKiVmmQLOryPwOVZsbon8b1qCpjKAXNRUUYQLxRp|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOQZKcd9X2eEFJIJNp8nPNIJxwrV3lfOYX2z8eCDrHO5LarFX1TeVksrwzevfTJMO8cPEGD6vbibI_bgTDiA4lyL6PCoEloBlBpUV8xLR6X6TvlXCohsOc-1wQgf5leT3ysmA|https://lh3.googleusercontent.com/p/AF1QipNsO8tu45kjEfv3TNj53ZKAdTAO2AGUFVkxgIct|https://lh3.googleusercontent.com/p/AF1QipNLIdpkqwtSY-pONhGPOcyV2kEqkkOgNK2rkj2n|https://lh3.googleusercontent.com/p/AF1QipOM8pcPIREgsTBUGgtXvzJkhKhg3mvSTX6jguB8|https://lh3.googleusercontent.com/p/AF1QipM92UN1YcWvoMJQOIwx8mm76JS6JwZpR1WZcYt6|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsix1s4NauhIAhmWpSLbqMyKSIQSxR7ACpKW5vE-0SJ-Mdhhhd-MeWG9bp7qL2Qv-xvV8BgT8HTbdKUcKv-SAL9psQgroqks73Lo6ThCQUcXKTzksJQN7eXOuPH0g-xHLslOA_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6qAs5nRcFt-6XgViuRiUNqcxZv-brkg1aGO79IPg5fulT9zd3fNJO3wtH3YUt7ECg15S4QIx_u8Jo6dAAb85QOisBSVW7bvvyuiAisHTM63NvL3AVgQ1MLmsynbAM-vBgE-eVNA|https://lh3.googleusercontent.com/p/AF1QipOZMWP3I3plJROV4xFsrYjhxmn1KDOPbZtuj5-X|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyF-I3jQbllJRnxgn_00iQB5beDtkBcI8QlkFno66-4waRYUVn_T9wEUdbx90u0U33wUyhjRgGFSkDzv52VJDaLjOASsOQmMfTdqkXmFe3-GmI0WQXi5uTbDj-NFvn-8mB__IJe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_HGoUxCEr63ihzk85pi_AIAHOtTcwEN24nUXdYBMGuMossrd3-PR9XZrUET-snHABJoEIcB8od4Tfg2OCVEcdmepxqVuxqEpfhZXsdotxZXuE-x1jq22HqDOS2smb3nQk-KE1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZwvBLpAgNEEz7wbRu-K_lKf1GPKbihQodsqb0ZvjIP8Z7ySo2VEWbHVnV224kWk_fHpJE6LJQdIghan2tEHn5CM23zHZXpBlv0TVvjQImurM17lGgHb5s_OCnq72IVwBGEtwT7jhjgqQB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzn6MyE5dsKqzz94X6ROmTlUuSTsaGUZwnPSX0FuElsOgZKWnY7V5IO8vZp5yvqmxeA_B8UGkkhQyZCpo4KIl2sML45pZm2YrKRENmkzfZY6_dzCTg-j-NO-lOJZ4tCmtZ-sgdr4xReqeg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsvEm1sfVdjy-zkk5mhzXra0V_aUdJYeJbkjzCGz0s5L5WrSnsSb3T-Ln-lJnVFoeuKSP951D37Lr4qlCe6c3U9bcm8iwFlKQqE3zbaIS8ieARtOF3lDUbAKpRux_CoOJbbfJ__XEPr2xY,0633-244416,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6eYfcBqlWUB69Qn4Xj-v9pE2RCvOTaPNbf11E-WATwmoATO27BUoxuvOEIthta89985ETowUuGth3CEwceZITNrxoPcAdVLz-QHPA3dtBxi9D6z6Ht3Z6fhXMwgr7OZYRzxHJZA
"1 Rue des Magnolias, Tanger 90060",Hammam Boughaz,N/A,N/A,"3,6",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyiXA5D8WdaQkL48YAScIH_lK7NXHtF1y92rjRS6Amm0-vtinJ7gk2Da84cJ8cNwYqooAPfYiMYa9Zy370e0miUDSmcIg0NI6suoK3prf6dY3FhpsKgHaXmfrEtQPC_edVseBoK|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylFvG3UCGJFHjLE9FKlycTzHaevtgkbF97ar6u8USi2_igwk7zG35s0VGnvNG7_CSdIMqRRC9pCwMQJfuK-_JNoImf43eMKjtJPH5uS2doKO3dhaTe4SNoqsJoP-VxLmibsYsS0g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz34nJYdin6OvYD4eB2RQ7sZcCdrupFDiTMI72B5XT96HXQ-3dzWz1uixY_RT1wD9Or091SJHxkCBwoWsplqUveCWvYaRG4khqMJ2KTqoG_ohS9XpGs130KuQFfHGfR26BI-xzO|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvaSXifzo1R9UBGJ90FyZ-9UBwTsYox5SBB4w0k5NS475aemHsarCH-vjDzCiP8_qKWpORTOESP6bMIrEiFkERlYf2tb1Bvtla-Lg3a4e11QW9rXvjZcqjFAwwo38kh99H8m4KaQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSycv2bPIFfdZE-hgnYl-TWAbsvyWBKkyPxzGuopqgECvYxalaBhPM9_RQ8Ngv-TON0KgqPV7_92jnXy4gpuNyDluS2f-h8KrVE8seb_gTDXQ4mA31n8wBphDdXIZnLm5nbT4xWjZg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfjtARydnjJwQTrFen9msloaSOAXzgLU8lRDFIrjrmeD8n-TsfxShietDuyt_0Br8qREWrhFyRpY9FtYGiPJQFiUujbpe0-NKnhTh5Ag9nIZu67oR2pj0DYMyErOUFbIpPRG5n|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxV3nPXrQUW54VAoteYShuG9OREVphu9ga5dv1miXi1or81cVVXxRe-xVx0vM4iDLhv0Q4V_V4BannVWbLcf_ysChiQ9JmuXmWXQspHWMpuwWrimaYFpNdD2gDqtkt63YWfIUNavg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyd1JeqHWMM2vq3-qhzzFhcFmYAD9hPm-mM6mMcNs2Bjl5IdD7h2tJkxl8Oro7T-VSyBOnaDdV5bw-FDaiNIDuHxfG4vqE4UGNWHduGMvK3F00jlam0Ji-F27DWPy5PP-yjmNs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxS7OwVktI9gR6FtMcQ2hzO1TjN1zOS9E2eAS45EH1x1ej11YW4yriZfqHYR5HfA3L8WClABoFEMmNC2ptSQwMS-gYRv0_iHhtMMY-5rTRyTCW-nISt944XW4jvOkou_fe-v84X|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyuX4TQ_WRE12X5JTVFkBQKAd3hHCaAesH1zGilKZubdszAbORnY53SVAFH-_emIYMHuZkJq1yu82p8DFwTICnqbk2SDtvUcgzEekFqrWC2xE0ABNsX4RTDj07QKQxYQ2WVYP65cA,0625-876732,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyiXA5D8WdaQkL48YAScIH_lK7NXHtF1y92rjRS6Amm0-vtinJ7gk2Da84cJ8cNwYqooAPfYiMYa9Zy370e0miUDSmcIg0NI6suoK3prf6dY3FhpsKgHaXmfrEtQPC_edVseBoK
"Rue Foret Maamora, Tanger 90000",LA JOIE,https://instagram.com/spa.lajoie,N/A,"4,2",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzR7LVS0h1ukwOe_mo09zD-nxEFlAraptuWeY6ZsDD3i5gpcmgU7s5PvlNhiQKtiUlRSzZbpUr406d8zK_lpt89ehWcGS_9Qd9tKuAA6LbDBNuxRJiXYEMlDKM9E3z2N0mrjYjE|https://lh3.googleusercontent.com/p/AF1QipMqt7nBStR-Oy-3l8GwKEBEMU-L4yqzPwxA4jcG|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzh8Wjj3CzL4RQe6vDZSlerQqHlnUmSTBKfotskhQ3id33r-fWJhfmAq4oAfqe6FwNa2yGjyWgwzY_pJXryIi4p4KWls6L2UyxR2zFXYtTergmeJQP63PAhxP9ZE8I5M_EfPG4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzmXSE9qsOsh14vTTxghVvzjf5X4texiAwuEH7GpDLN7n9x0ucVEnwmVrKRvJLUN9_NBfLTnm8vuv2cw8SMCyQx2SVN70ieSYx2DgzY2zb38YTiFNJS6zETCJ-pStI2C0NeXsS9Q,05393-08462,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzR7LVS0h1ukwOe_mo09zD-nxEFlAraptuWeY6ZsDD3i5gpcmgU7s5PvlNhiQKtiUlRSzZbpUr406d8zK_lpt89ehWcGS_9Qd9tKuAA6LbDBNuxRJiXYEMlDKM9E3z2N0mrjYjE
"20 Rue Antaki, Tanger 90060",Best SPA Tanger,N/A,S'identifie comme géré par une femme,"3,7",https://lh3.googleusercontent.com/p/AF1QipOYRVVZ6y0zphjK_1bpcWtCD4NCftG0OoZC-tpE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBjTMDoSQkxH5uUIqfRgZ1ZseLtrRKuPclgOPeOne5nb4bvHoVPcHTs7tkPseDRXPvaIDKYIdVzPBYdeqebYJWQDCSkyYHtn5fKqySIXU5NBUAbwZ1s9_M-dQUhIjvCYtCf2x4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCHP2mb779PAngsvw8g7ZLKAL5hw7SWIIyHybCsArJe3UUYKfytD2mplh9n8N3bLRz2I2bYPgpsQUz_9nPWdrNcnGEBir7pcAZfK3mPlTkMMj_etc_68KQUIiWRAXqIm-CJZ2cFQ|https://lh3.googleusercontent.com/p/AF1QipOThzWC_0EuoT51TVNvlFyvh9-iGnK6TaGOZSBt|https://lh3.googleusercontent.com/p/AF1QipPZEF5YCLIMqphGAfVie2XCihBzWWaPTD16W7Tr|https://lh3.googleusercontent.com/p/AF1QipMYN-bPsPkKGKgJC3RSAPf13MTV003a0Xg4-c5E|https://lh3.googleusercontent.com/p/AF1QipMcYQ6gpVXgf8nSxy9eZITi5M8fyxj2X9edOwZ7|https://lh3.googleusercontent.com/p/AF1QipMHZpeBofyh-x_CVvfUxwGN9V4RyLfPJkMQqycP|https://lh3.googleusercontent.com/p/AF1QipOTdpu9AgpGmQosNEFAgUaLNucEi_YgoROwdvy6|https://lh3.googleusercontent.com/p/AF1QipO6_4a48wnP3rfO_5ioJqR9YajmNEQcg4mRy0Rm,0631-533261,https://lh3.googleusercontent.com/p/AF1QipOYRVVZ6y0zphjK_1bpcWtCD4NCftG0OoZC-tpE
"Jondole 2 Complexe El Hassani Tanger, Tangier, Morocco, 90600, 90600",Havana,N/A,N/A,"3,6",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6H1pfADm4LaF8fNYS_PuMNRie22FOQc4kL8sHKIXYT5uOt8WhrL33mllX-Vpp53TAl7bl4v1obpNrZ5NDN4kaX6f588M2qMo8EwgqrXQaJgccrq8iEfUZoLAlpC9gmMFgJ_IE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxD8EXyzMasXOGalB-NwEFv4zvS-xQZ_F6x0FXb8vKhYWbilDg3XttFEpTHPHA4LRJGmmd0hRMfo_5mdNlIycXgcQZfT71kaJ8QyCDqbhilub1AIKaIX0NBXVOmUqqCusO5ShQK|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrsDBXiZm0EqklB2X370GmQPbRaTmLuL6jDCOqqRkxYjyEZ7c48GZFuQJcvzHxnfI7Q6WwfGY8LUeMnYZJrGTYvJcY-3Vk-Qmyb50Klxu9uX84pjgFHS7z0qYOvd-v9pm55-yX|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgb5tGsba5DqXDDpHPuHmQ6JlSxqw1OxmrTWhElkJXT3pP85PrVkjRHM_xaMBGMUbwyea7c0EsMHYnw3dbWIEr-QAq4nFYDzHCyQi-pUQ2RoP2X6vBzxPOrdQOjfI7ylV3oSHhIw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkJBDuOyR9D4UTKgRH6oaN5B_ucygdxyHC38XmQE5cdlbd7Rb_Hz7cDS2S2DLorzWAYif3Uginf12PLM9977XoN2YN8vkte5tp7xtJ17Kqoy_RhGEk6XG9Cogx07VylIeu8L1j|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMVGt3SNcTNBDXDkuWygWZMpQtUXbQ86cMZQBrKaO8qbtF_iufZXoN_773cG823vyXlnANwt51HNnDUrye7ZTeTpdUAZyXBwqSHSe25D6aYheHAc8_qvc_C7cX4zrQLC8Pt5c|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw-DPO-3vMJb3yAG4ZUSzMTqlz3Xq2SnFSJmFDYpZMWjoiJXq9-2lI0PgDJv2pb_lPXnQRSY-wmSZKB8ihuNRSz88h6fVABZs1p_SOtgeIv8OELgl1IBQWDzxYak25df89494Dv|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCMAU1Dl816ssrPLYTi3Pmvq2mMxKlSg76DHKepjyokcmcU5EcxIq1bibSrKncm8rfxqlzf0D5qtL1am5SwxV_jOrhVRD1h0KMJmNhNmAerFoB46DkBbUjG5jGMPkkj4cDLU3J,0650-747699,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6H1pfADm4LaF8fNYS_PuMNRie22FOQc4kL8sHKIXYT5uOt8WhrL33mllX-Vpp53TAl7bl4v1obpNrZ5NDN4kaX6f588M2qMo8EwgqrXQaJgccrq8iEfUZoLAlpC9gmMFgJ_IE
"Q6CG+FRH، زنقة شاطئ قزح, Tangier",Hammam Chatt,N/A,N/A,"3,8",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFvf_uDP_H6xxKCyuWyBnXasDOlT4PSQbRrlNfLlHrTaxtJJL_QDC5FjxIL96EEM77LR2SHep2332tJoeGJ6ZF2RFr35VkOeLa8p5XbngNW6zaoZR1Z9zun-rYrej8SH5tBDGPbQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzv6GtRFKlj_0_HQ_mVc72PmoDy1aKtwQZoWdd49PKPwRIBJJChQU9np4cxDTTxLbmeY3iASJP276iV06xa7_7XhhyaRkvK42SLbi7Ty8Asj6RPrzhKfQTF72cGscuOJq4c1dxL,05393-02154,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFvf_uDP_H6xxKCyuWyBnXasDOlT4PSQbRrlNfLlHrTaxtJJL_QDC5FjxIL96EEM77LR2SHep2332tJoeGJ6ZF2RFr35VkOeLa8p5XbngNW6zaoZR1Z9zun-rYrej8SH5tBDGPbQ
