title,location,image,website,rating,images,phone,description
Dos Amigos Barberia,"22 Av. Seville, Tétouan 93000",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyclCDKIRnwvNZQkLhZLaWddfokScN-IVcEtrELP0b8yd5CRRw8ZB_o3-sYypx4nywj6zXFS9OPjDZxU0OAZ_audOz_00_S_ZhqOyz5TPEay3Cb8Usm1JrZQYVdplWABlOMTXk,N/A,"4,9",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyclCDKIRnwvNZQkLhZLaWddfokScN-IVcEtrELP0b8yd5CRRw8ZB_o3-sYypx4nywj6zXFS9OPjDZxU0OAZ_audOz_00_S_ZhqOyz5TPEay3Cb8Usm1JrZQYVdplWABlOMTXk|https://lh3.googleusercontent.com/p/AF1QipMRvJDy-OvUrK59TRLvCTLh-fIXFREp_tWGgq0t|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQtn8pv6MLpkx2t6YB7oNffb3ct37I8Q4Jhq6H3elcjXmsUCA_TdU0KqYB8EeVAXS2PR0p1n2QbPJCIKlFsue7dM_PP6FWhHyYdyA9EZTcszLI6wJUuwsIUmXHe9XqmZNyP02X|https://lh3.googleusercontent.com/p/AF1QipMY2WdszZfzCRZAXNoFfZ4UElbxtiHdFsbQrJFF|https://lh3.googleusercontent.com/p/AF1QipO9aPPvM6XlIijjp3sNVHfSUst8JPh5UaJOIFLZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaZ9ojx8I6W45QzQ6pCjmBdTjYH2qT9q2se7vagq1KiRi8CtInjkjFg1opModuw1otNzAopriCiazSBm_hCzxfYhcuvxkUaQi3Jt9_GOyJt7dwhugo4Qbz2r2EhQVJOyKPgrBVcg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMVhjJbLgaDX0_g7mCsYgPYpFVq9M2t7LAxrP0jH4nDOXU_UDnDo2vvJKgJrTHt8g6zn_T1Q8dIEaCG8rQQNKh_-OTUyUzG4nthFvzfVfj_WyqQoDOi87HHkOtoHnI6RzvJl5g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiiUYRLLktG8puhvEt-4dXa_9x03QqPBRq5-9nRRun_NVlCQzp5D6zi3lKLgAq9qYKNojcnSXmxUnO1GRczg6RECexvy_g1Sy4SnlLVh2ed59Xfl92swaxW7fHcRIX77H9fmcp|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzB45QnpU15Y4lW3m01jzASFSax1KIzmFf9nfsgKBmA9LEt4fD11NneVcvOa5B1XRuqoX8EdHyLBaJnC4r0isRvQRsyrFa4YpTDmzahmYDw76Kzl_j9PYZZ5_9N66_ZQE1dNVA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx48nsCgeuE93eWrcIRwOiKo0yq1-W6voXA_rXt5k2Pmr0JUrwzP41UPT3UG7m59S7GN2GcaVDHWXZzEte7YO3gsZlNXuJDOdvFP__YRlKwHmvk3QOaaTYG47R6jfS4ck65niWq|https://lh3.googleusercontent.com/p/AF1QipMyovgknQ4d1d4J_DkpaZD0rJlyQR_Xa4lxgYVT|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwwMZiY_pS_WcmXSeSbWPr_rMZ-YQCbhI7U0WA7rEg1iZa249rAkWylx9Sxyddb7TvG6xv6XWQs7ptXZgQMbY6rV24AANkux4vaW-tXLos-b3_fHpYETSs6idJk-HdDTmJChDKR|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylMtB1azAYihdY6Elm5oKfeXtTGoT-3JUeeXYyRdMW029ypsNkYYpE5igZW45vYYj40A-O_VECeFHvwj7J9UZvcshzTK4vDkF7kyTlLijV4OJML5bPd3Z6eVtKPTmU0NGyF4FS_g|https://lh3.googleusercontent.com/p/AF1QipNzm_MSDMIALPz33L11E7_w005WEEwGoQhNVyMe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy9aEEKpUc_ZzIbV6jpI-8siRBk7QjbFp9WZgUI0HtMx4u1vCehnkmKcGUgrRiHismmyk7ucRXN-LxFyAlhR93L4vsnTm3LeSletxO8UeVHBrvTG6-DDV6ZjbdIUIIRN0KHdmI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzP__j2L2B4wl23j_DFmBDSo_Vq9W4wmPv6CN9-NV2ZewntpYvbVehpZYsXK634O175PPoqyi5TifhpJsEEKk7IZ_6s2zIUdnj--8qOWJU50vZSzyx8bZvnD7pgQ8G-6jhYeA-yHA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBN-srKZzQ6nS1oz-6KetX0HownsF8yviDv_qE5c-a52bj8gImid4mZdWpv6DJB-b-najsThWwjZmQt4KvK4aLje3xHdjnAFGE4D8VJitbyX6dNNew0nwEweHdnU_kzPYm9frYqg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhnStM1P1StKTDFrZESzXJq9VnuMuCdsOwyZtXvsRNmT9Q-U0cWlMAgRacyX0Ec9Rbhfu10XnwyJfnN3LCQBeP4xti9nAxWMPpd-zCIE2ouFaNHL9U_JENBCELPILFvHqCgPVy|https://lh3.googleusercontent.com/p/AF1QipNoJlheJrzeVrP52EVn0EBqhRW3E2S9L1BoHBoN|https://lh3.googleusercontent.com/p/AF1QipP5wzwRWauyD4I0BUW6e7FC-zO7wZWTQiXaoeRI,05397-24371,N/A
Neeg Ziati Barber Shop,"N, Salim 1, 7 Av. Ali Yaeta, Tetouan 93040",N/A,N/A,N/A,,0666-719233,N/A
Adil Barbershop,"101 Av. Abdelkhalek Torres, Tétouan",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqhJhbCheImFZOITJEfzxhsSV1mlWsSg_vv19-2-Ax5ogAQBeruXSsFaD5Den5-jTMvaFpBTXrykplDsID9lM7pbARsSk2HJUmF0i3TSEhHC0TfMJfA10HDz_M8Xo5hfifu6p1-Q,N/A,"4,7",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqhJhbCheImFZOITJEfzxhsSV1mlWsSg_vv19-2-Ax5ogAQBeruXSsFaD5Den5-jTMvaFpBTXrykplDsID9lM7pbARsSk2HJUmF0i3TSEhHC0TfMJfA10HDz_M8Xo5hfifu6p1-Q,0678-089815,N/A
said benaid barber shop,"HJCF+QHG قيسارية الوحدة, شارع الوحدة, Tétouan 93000",N/A,N/A,"4,9",,0671-611888,N/A
Barbershop Reda,"93000, Tétouan",https://lh3.googleusercontent.com/p/AF1QipMCIjiwBJSzS-YYTsb2uYea2t6cPMBN2OjB-kTz,N/A,"5,0",https://lh3.googleusercontent.com/p/AF1QipMCIjiwBJSzS-YYTsb2uYea2t6cPMBN2OjB-kTz|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykxgEVrXAacG4ysZ2z7U2TCKmUMoS-5eNnI8fx3KOstI4yldAn7UyB6s57_FMqpRLkcrwcgnQflR5BueLZeacDMIC91903bRSyB9sNNpAQmdluEUNXnvg2MpwXJumEU0feHr7Xpg,N/A,N/A
Soufian allal,"24 Av. Ghourghiz, Tétouan",https://lh3.googleusercontent.com/p/AF1QipN1a9KyV5q7qX-A93lC3mp7DfLn5Y7P0aaGx6wk,https://www.soufianallal.com/,"4,9",https://lh3.googleusercontent.com/p/AF1QipN1a9KyV5q7qX-A93lC3mp7DfLn5Y7P0aaGx6wk|https://lh3.googleusercontent.com/p/AF1QipP8NLwF3slDrxcANASWbHpnIDpUU7u6cpHmpy0s|https://lh3.googleusercontent.com/p/AF1QipO9QO_bl4pJMEhDc_5JUVM9EonfFaRw4ioxMoyI|https://lh3.googleusercontent.com/p/AF1QipNlNzFOXKfRdtRu_JAMWhwGABZkgdGNhOBM5K2q|https://lh3.googleusercontent.com/p/AF1QipMg3fiCSv11pjpnXx3bXoD_FixWIzT3XpK_O-5d|https://lh3.googleusercontent.com/p/AF1QipMFRb358lFieqKFVHoG_d-5QjdA2eObyT5K8rib|https://lh3.googleusercontent.com/p/AF1QipPyMnDyDzWKC7tmMwBJZo1JCmSA7kxhBEcJyJel|https://lh3.googleusercontent.com/p/AF1QipO4r57kHh16xfGparexnpmOLD8kMHHcxZze0eAH|https://lh3.googleusercontent.com/p/AF1QipPS12AhiKefp_JRuFxL70Vj1HJtL6DZ9ozgO2pi|https://lh3.googleusercontent.com/p/AF1QipMtWr5Mdkxuabad9C7pNk1Ar4bI3ko-8r4RBn0J|https://lh3.googleusercontent.com/p/AF1QipP36Z-jDqoXca7gQNiA7grpPU3T0VznzshavK93|https://lh3.googleusercontent.com/p/AF1QipPMy93409M6_3SuPPoz7xWIQRfg0TH2en2wNwfZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZZafGjkauJ1iFCo1wb--S2g1wVnwm8wkwYzFBgm1713Xa1keyXR1a3sSYMTQ03RY4UsjGBui6lwVAetAczcHF1tGxsScMNtoP1RxL8_kBFlezdg6L2liWnKPk0SMpPDMMPHXmgQ|https://lh3.googleusercontent.com/p/AF1QipPSotN0ZW8TjjJ78vW_zgJdFptVICRnAhKUf8ED|https://lh3.googleusercontent.com/p/AF1QipNZyOqxzap_7uoUlS6H1AKdqhCIEogdsTzrB6Br|https://lh3.googleusercontent.com/p/AF1QipPbQC7YCsO8cAlv25rneJv6yQfUFj9PQPxqwMq8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwznmq7mI1dmgli5j5ry0iGSMIyK2ke6DCNWQqJgkJKqIk11oScrq_fx292q5HRJOUwTVRdP98UYmgBvPlCrT222mHZlUpjizrhQrOd1H56vvBiBaGGNLDjy2E-MTyiRe1fne2G6g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwVnHRZpS4a-NTIRNZV1b2wUr2sHZZt3dq1AyhDl6J91v3KQYELpJdQevIsECNLkVBiKKIFgplHTjssYoS8rcgOnYTgCul1nkrMrQyJAB4WlDVHFRBJGcxmS1tABXhSMpzOY0|https://lh3.googleusercontent.com/p/AF1QipMDCJflybUCgSlgu0w11sFWNz4EcsMebbmTqtHI|https://lh3.googleusercontent.com/p/AF1QipPpwLBHfnF5UkWsD4PNUKk_pB7p79KprFdtx9B9,0677-352425,N/A
💈Relax barber💈 Men,"Boulevard Mohamed Aztout 90070, Tétouan 93000",https://lh3.googleusercontent.com/p/AF1QipOWwbQoXpyVN_jX59a5R8fvgxRzY7aZOkVjQwoF,N/A,"4,9",https://lh3.googleusercontent.com/p/AF1QipOWwbQoXpyVN_jX59a5R8fvgxRzY7aZOkVjQwoF|https://lh3.googleusercontent.com/p/AF1QipMfUHIdCOaX39VzLZ33qLSq4FUWTgehpPS9kJhq|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOSRWooCQQ7R0VdV7_mZNfJplqGc9ytRHk2l8T3loZ8CSks6oT1PAJxet8GcBn1KfHdOHBIh2TVd2EaGR4TuOTRwZN3ZUXwPuM9_2wEbLE7c0cSkf2Y1n-TEIglYG2H-RBKcU|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwEXoE34NR0KPYHQfIHFMzkjvbMBDUbVjUKtKE19sa5ZY0o9EcCQ2xO7aMYmSvhxt1o22hHrDAtrxeY7MFZfVDi1Suayw9vL3HPgcQMVpCbYesgtPKx3NutDAlw-mB6nlgZ2UOHww|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzHD2O5da6DPZfWdT2h0DgimMV8SuMGAL1TXXKMVSW_zy7ZtG1_fTvrC_fhFryprCjQlqHchNpYQlgJ1AIEtxglyEQcb86iE9q73_5Hrl-w6F63jnZAiKPWuFyucY1WkuqX2zAj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoQNcgOm5r8dnzFOW2HtYGL_L7IhRhy_ecbLin54edc0dIRp7mVT9UeFYs0axegCGtwYTZY4QhOEr0jRe5d4wM5TE7u2Q5nQFmoMSJpWPl_utak2HRgQKUlm1EkVo5WrVyAJpQ|https://lh3.googleusercontent.com/p/AF1QipNuOp3hl0Obtw-yWeb1O33nLw0bgZp0mkHYKQgO|https://lh3.googleusercontent.com/p/AF1QipMIoxxJJOW6_VYSHkoE9A6MNaugvLoNf3wCG6sY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaB3o66kLUN9w69zUGnUgxThIsO83T6xkQYonMifR6ODqnachPMxBuPeYqEak3nv-wFjJfiZc0wrMDYKKzU0pgp6z_zS0kNK1gZMXN-dyUGs5R3FiD2wS4Ab4-oLE6Eg0LrFU|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwiNK_riQt5CQKtwpCXqa_tG23i1dMdUfwjdBOzNCEkumDHJ3IEG_qblBrxvG2ze7MdlO515V0NFBIwRj-yF7QlkGDkhxhRl-J_wK6SHC8SWnLe2PWKqCY9a5GI8L0bGWK5C2kr|https://lh3.googleusercontent.com/p/AF1QipOQnQpa2shHVL2ynYFRsmP92cf4ToAtSwtVnJ74|https://lh3.googleusercontent.com/p/AF1QipN1Q7KACfi3eZpXoVPC0CeB45fZkwF0zPgFXDW0|https://lh3.googleusercontent.com/p/AF1QipPW3Ndc7jS2CA-xE652eKzVaHSyK9tFSDjV9R5L|https://lh3.googleusercontent.com/p/AF1QipOULciivjE3Y6HvCl2au7mnPEEK-6K5jNRxmvJ1|https://lh3.googleusercontent.com/p/AF1QipPm73PaMSUSsYXm8ydJoJSjcuq3fQpYn254Om4G|https://lh3.googleusercontent.com/p/AF1QipOIbPCiy0YY9O9h7dEwlodXiw7X4nwyCmeRRXhX|https://lh3.googleusercontent.com/p/AF1QipPk1Rf6m8lwWV9XUVgkxfsMXW6U1j5Iw8Dq-k3s|https://lh3.googleusercontent.com/p/AF1QipNH6aNhN5btzxh37dFOuAeNqp0v9hFNvoqqpU36|https://lh3.googleusercontent.com/p/AF1QipP34U7qlgZ-Znrn4csb6-lFGQN06_vkTUAuxIrF|https://lh3.googleusercontent.com/p/AF1QipOOUqtS36iOCtECVqjcTnxszSS2ImQ7JnEobxqh,0530-355930,S'identifie comme géré par une femme
Moustache Barber - (Hijama),"Av. Cordoba, Tétouan",https://lh3.googleusercontent.com/p/AF1QipPeSfaHbol101erXUBTpv-mIP93cYgp-LmrtotZ,https://www.instagram.com/moustache.barber44?igsh=ZmtzYmM4dTFobGc3,"4,9",https://lh3.googleusercontent.com/p/AF1QipPeSfaHbol101erXUBTpv-mIP93cYgp-LmrtotZ|https://lh3.googleusercontent.com/p/AF1QipMe6IirNytrrSsHv95EweUTuodwCBjmxCzeVrJ_|https://lh3.googleusercontent.com/p/AF1QipOhow-LROFo7VUL8qOdsP8Fy7GJ8bqrUs7xLA8a|https://lh3.googleusercontent.com/p/AF1QipMwkZJNHdAFG8cAo0PzYQozH0a5PQ_30_mwfxYG|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzmg2YIcVF3kImwKSd9p7zhNEZvLpXjYdWiVLXPDJIKsn66rr777vhT2a2w5zQ37Gknfg4Mc-3pQkmJy7bvrv7w56s_BRP8tQeofvB-uEciK__gefUd3WBiRFA80di2nEt-pxs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy917K9b7n5WYgfhqPz10owcFZdy4xoOz521nIg79ACtChYa9ie9AZgIHEtAhjCY57d6fN3XWKPT1on2C1YL1WcFYZZVpsza0fNeguZfGLjG6QnU83JdzCF2k7F3y9JDmwSXlG2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzshLpokWAxkm2nOoEi5cCymxbNOdrWpct5nUiP5EJELvbZ-jj1ZsPzMfGB-6Wkb31FrFKP9fJaZumEO4eUyq52D71rXul90IuaJfHqFliofTPq6Xo3xwbnjf_mrEl4hSPwDIzN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw6kBQc__gmBLeKH82SJLtL1Kh1eBeB-Q9P9LJhusb6njNWnp_OLup8eApq1UGACIxZm3ADWfQEKCaJpgWgXzZn3Y_olc-YPZ8q1D0KgN8Flpep9msNe1J5Zm30cd5vgFzqVdvILw,0626-732341,N/A
Simo Barber Tetouan,"HJJX+4WM, Av. Homs, Tétouan 93000",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzN3QEpidHQtAQ3CTatYfXahqTbGHgl_lzeOrJfv7PXJRtIO2j7s1rHmAMlf0PhaXiJEK6Qc7s7BdYq5aETDuCq0q5wLX5Axx3U5jl2N5I4ojGywCf2hx67gwWA2pCi26-1bR4Q,N/A,"5,0",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzN3QEpidHQtAQ3CTatYfXahqTbGHgl_lzeOrJfv7PXJRtIO2j7s1rHmAMlf0PhaXiJEK6Qc7s7BdYq5aETDuCq0q5wLX5Axx3U5jl2N5I4ojGywCf2hx67gwWA2pCi26-1bR4Q|https://lh3.googleusercontent.com/p/AF1QipOuUCelmI-2WRayXQYi00Yzkb_5guUQ83PWxo1Z|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxwnJq1dap0uAIXunHiyeTnZ72xRV4ujhhm0n7spE1HLwi85mmG9gdzhqnmQiFL2Fh-89zRVpdyi9nxEBM3jEQySI12UF807HsXvSxVLtQEMiDRJ9zkbqJOTLkuGzMcfM8siqT|https://lh3.googleusercontent.com/p/AF1QipNND4qEcXhIbjw0dWE2ufVxqH_t91nHdd2N1e1Z|https://lh3.googleusercontent.com/p/AF1QipO_9DXXJvzeP9_X2_rqiAqsFP_o49zqC4gxCBtP|https://lh3.googleusercontent.com/p/AF1QipNHra-5Vyb7cZBWhdPFGjretpIg8wr2KjHrpyEu|https://lh3.googleusercontent.com/p/AF1QipMsdsiy4vdwLJ2uraeOi4uIzhOWaEzZtzULVlto|https://lh3.googleusercontent.com/p/AF1QipPNmfD6Q5o58fUzALREd9wv2Kt1bM87V7PRVkWh,0664-056066,N/A
"Salon Layachi Pour Hommes : Coiffure, Rasage, Soin & Gommage","Av. Jbel Tidghine, Tétouan",N/A,N/A,N/A,,05397-20965,S'identifie comme géré par une femme
NJ BARBER SHOP,"JPGC+QHV, Martil",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxygOGdeD_GqXiivwvzzb0J_qXqtZ0BAKf1ENGIBO2n8ckNQEz2Kdw4Vouz8GdtWjLejjhJEmx6_Yq_MERc1zF6b1QNh-dCMY3sO0QbYOmX8yPCUclB1vlkdOlvDYBUldRKkps,https://www.instagram.com/nj_barber_shop?igsh=MTM2OXV3a2E1dGl2dw==,"5,0",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxygOGdeD_GqXiivwvzzb0J_qXqtZ0BAKf1ENGIBO2n8ckNQEz2Kdw4Vouz8GdtWjLejjhJEmx6_Yq_MERc1zF6b1QNh-dCMY3sO0QbYOmX8yPCUclB1vlkdOlvDYBUldRKkps|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJmPGIUjd5VSXToKadpVgCuGaVHihaV31U5wP3JEmFPXrn1XrlkkbChotalUaHw7Edzg4YqRxnDr32Y6btIealuIW_MqOZ5aBT9gR04inx1OCYoxu5Z-KRZEyE1Rgygahj1XMZ_WWTseS8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVAzgeOpW6ExeQz513ytZA8KX_EdnKYktzgx2d5T2vgVJ4TaW5qb0A09nYQXI9vavASwwNONB2lUqDgIyhPB6H8TcYED_yQaszE6WpFEc6abY2bz9Fn4r1wxb3LaBDk7eZe9rKKm2lvTYt|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCUaW4JUDtSnamj4DLA3GTUUYhuPyO8_1nuBgwWubO7hMs_O6Uo5GeJISr5tkFgmGNSdYLk1P-4yO2qhU9kgd6h6Jg_DEet-Z-ByOoCk7Uee1CRFP64BUHZaCWGAwjP9XG0L7T2R82mssm|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwop7Ov5MjCp2JRurfQBP4O-FM4_T7wMN-AepGBuBgTkK6w9AQPPxalc2_LlcMLLc_DyhUIq8QWh1NLrq9-8EWl1htfN24HRxB7NzJbPomDdVmIP_yCVkeSU1EqHw7oAdIptzlaxDoPFLPk|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfsRYmdurpQD_XxqfVd8Sd9GhOsFVUvv1FAw44N_Zjn7GKKlH3wq_sRtlJ7akv2WkZxvFLLFNo6QcRaVXxlBhlj3dLWLk5mDVpgzoJXb8Lg0ZbTDC8ZQVzi2u8abmW-iBh_ZoPkQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwM4U4bTV_B7D_7O5dqFM885VSm6jQgiaFm65OqHyMUVvr-0AOnsFOqGPyfAlOw1lHKzWHCHR3k-c8rMGc9g3sIAglRpq20FSII1cl2Ar_sLNRikCMqTyXEsH2-oxHa4vZazoVPGA,0723-080303,N/A
RIVER BARBER,"Av. 9 Avril, Tétouan 90070",https://lh3.googleusercontent.com/p/AF1QipOK1F7X5jjd0RWdvi9prkkYgTOz356gO-4QbiXC,N/A,"5,0",https://lh3.googleusercontent.com/p/AF1QipOK1F7X5jjd0RWdvi9prkkYgTOz356gO-4QbiXC|https://lh3.googleusercontent.com/p/AF1QipNSaEcRl9QLW5Nca3FT9FUJU_qIWv_1fBiTwBnq|https://lh3.googleusercontent.com/p/AF1QipOG0gCUcuNy6J3270avmv8LYB70C8xzu7z3Y1W2|https://lh3.googleusercontent.com/p/AF1QipPcJAmwkLHhCLDBryrz3AyLPQFO3qc8xc7Tsawf|https://lh3.googleusercontent.com/p/AF1QipNgv4WC2um9sF2YqEDVWPyGwRWqjA2opcjer9w-|https://lh3.googleusercontent.com/p/AF1QipNrSenca-kcXDFfRS9iMUeip00cBoYJL5Z-zEWP|https://lh3.googleusercontent.com/p/AF1QipOja9CdR_9woq52PLBM5RKHny8OepKAtI0tBNY4|https://lh3.googleusercontent.com/p/AF1QipM-zSFVP_LFbYanlx37Mw-Qm1V4HyiEwjmL-B96,05397-16516,N/A
Barbershop Sante Pour Tous,"nr 9, Avenue Mohamed Kharraz, Place 14 Aout, Tétouan",N/A,N/A,N/A,,N/A,N/A
